proteina1	proteina2	interaction_score
DRD4	HTR7	0.441
DRD4	LEP	0.457
DRD4	CPX-2175	0.509
DRD4	CPX-271	0.509
DRD4	CPX-272	0.509
DRD4	CPX-273	0.509
DRD4	CPX-276	0.509
DRD4	SRC	0.559
DRD4	GNAL	0.594
DRD4	CPX-8432	0.741
DRD4	GNB4	0.741
DRD4	GNB2	0.748
DRD4	GNB5	0.76
DRD4	MAOB	0.785
DRD4	DRD2	0.816
DRD4	GNB3	0.837
DRD4	MAOA	0.892
DRD4	SLC6A4	0.978
GNB3	DRD1	0.447
GNB3	HTR2A	0.498
GNB3	SRC	0.552
GNB3	SLC6A4	0.587
GNB3	ADORA2B	0.671
GNB3	GNB4	0.726
GNB3	GNB5	0.732
GNB3	GNB2	0.739
GNB3	HTR1D	0.764
GNB3	GNAL	0.822
GNB3	DRD2	0.827
GNB3	HTR1A	0.832
GNB3	CPX-8432	0.9
GNB3	HTR7	0.932
GNB3	GNAS	0.982
GNB4	SRC	0.58
GNB4	ADORA2B	0.63
GNB4	GNB5	0.724
GNB4	GNB2	0.732
GNB4	HTR1D	0.744
GNB4	HTR1A	0.744
GNB4	CPX-8432	0.791
GNB4	DRD2	0.805
GNB4	GNAL	0.864
GNB4	HTR7	0.932
GNB4	GNAS	0.992
AKR1D1	CPX-3156	0.41
AKR1D1	HTR7	0.414
AKR1D1	QDPR	0.53
CYP2C9	IDE	0.417
CYP2C9	MAOB	0.454
CYP2C9	MAOA	0.458
CYP2C9	SLC6A4	0.628
CYP2C9	HTR7	0.681
CYP2C9	CYP2C19	0.988
SLC6A4	HTR6	0.465
SLC6A4	CYP2C19	0.56
SLC6A4	HTR7	0.645
SLC6A4	CPX-2175	0.726
SLC6A4	CPX-271	0.726
SLC6A4	CPX-272	0.726
SLC6A4	CPX-273	0.726
SLC6A4	CPX-276	0.726
SLC6A4	DRD1	0.763
SLC6A4	MAOB	0.868
SLC6A4	DRD2	0.91
SLC6A4	HTR1D	0.921
SLC6A4	MAOA	0.942
SLC6A4	HTR2A	0.961
SLC6A4	HTR1A	0.968
GNB5	SRC	0.598
GNB5	ADORA2B	0.632
GNB5	GNB2	0.73
GNB5	HTR1D	0.741
GNB5	HTR1A	0.76
GNB5	CPX-8432	0.842
GNB5	GNAL	0.852
GNB5	HTR7	0.926
GNB5	DRD2	0.935
GNB5	GNAS	0.959
IDE	CYP2C19	0.406
IDE	HTR7	0.547
QDPR	HTR7	0.425
QDPR	MAOA	0.57
QDPR	MAOB	0.592
QDPR	CPX-3156	0.701
HTR6	ADORA2B	0.441
HTR6	HTR4	0.463
HTR6	SRC	0.499
HTR6	CPX-2175	0.597
HTR6	CPX-271	0.597
HTR6	CPX-272	0.597
HTR6	CPX-273	0.597
HTR6	CPX-276	0.597
HTR6	GNAL	0.716
HTR6	CPX-8432	0.818
HTR6	HTR7	0.925
HTR6	GNAS	0.992
ADORA2B	HTR4	0.41
ADORA2B	HTR7	0.429
ADORA2B	DRD1	0.448
ADORA2B	SRC	0.539
ADORA2B	CPX-8432	0.63
ADORA2B	GNB2	0.63
ADORA2B	GNAL	0.787
ADORA2B	GNAS	0.954
GNB2	SRC	0.585
GNB2	HTR1D	0.744
GNB2	HTR1A	0.746
GNB2	DRD2	0.789
GNB2	GNAL	0.874
GNB2	HTR7	0.926
GNB2	CPX-8432	0.939
GNB2	GNAS	0.986
LEP	HTR7	0.412
LEP	DRD2	0.448
LEP	SRC	0.539
HTR1A	CYP2C19	0.403
HTR1A	DRD1	0.543
HTR1A	DRD2	0.56
HTR1A	HTR1D	0.684
HTR1A	HTR7	0.701
HTR1A	MAOB	0.735
HTR1A	CPX-2175	0.748
HTR1A	CPX-271	0.748
HTR1A	CPX-272	0.748
HTR1A	CPX-273	0.748
HTR1A	CPX-276	0.748
HTR1A	MAOA	0.861
HTR1A	HTR2A	0.92
HTR1A	CPX-8432	0.973
GNAL	HTR2A	0.493
GNAL	DRD2	0.538
GNAL	HTR4	0.615
GNAL	HTR7	0.766
GNAL	GNAS	0.975
GNAL	CPX-8432	0.978
GNAL	DRD1	0.984
HTR7	HTR1D	0.422
HTR7	MAOB	0.428
HTR7	CTNNA3	0.431
HTR7	HTR4	0.437
HTR7	MAOA	0.475
HTR7	DRD1	0.486
HTR7	DRD2	0.486
HTR7	CPX-3156	0.491
HTR7	HTR2A	0.493
HTR7	SRC	0.523
HTR7	GRIP1	0.58
HTR7	CYP2C19	0.69
HTR7	CPX-2175	0.725
HTR7	CPX-271	0.725
HTR7	CPX-272	0.725
HTR7	CPX-273	0.725
HTR7	CPX-276	0.725
HTR7	CPX-8432	0.992
HTR7	GNAS	0.995
MAOA	CPX-2175	0.554
MAOA	CPX-271	0.554
MAOA	CPX-272	0.554
MAOA	CPX-273	0.554
MAOA	CPX-276	0.554
MAOA	HTR1D	0.603
MAOA	DRD1	0.628
MAOA	DRD2	0.736
MAOA	HTR2A	0.786
MAOA	CYP2C19	0.948
MAOA	MAOB	0.965
CPX-2175	DRD1	0.445
CPX-271	DRD1	0.445
CPX-272	DRD1	0.445
CPX-273	DRD1	0.445
CPX-276	DRD1	0.445
CPX-2175	MAOB	0.464
CPX-271	MAOB	0.464
CPX-272	MAOB	0.464
CPX-273	MAOB	0.464
CPX-276	MAOB	0.464
CPX-2175	DRD2	0.627
CPX-271	DRD2	0.627
CPX-272	DRD2	0.627
CPX-273	DRD2	0.627
CPX-276	DRD2	0.627
CPX-2175	HTR1D	0.793
CPX-271	HTR1D	0.793
CPX-272	HTR1D	0.793
CPX-273	HTR1D	0.793
CPX-276	HTR1D	0.793
CPX-2175	HTR2A	0.881
CPX-271	HTR2A	0.881
CPX-272	HTR2A	0.881
CPX-273	HTR2A	0.881
CPX-276	HTR2A	0.881
HTR4	SRC	0.529
HTR4	GNAS	0.897
HTR4	CPX-8432	0.926
DRD2	CTNNA3	0.44
DRD2	HTR1D	0.525
DRD2	DRD1	0.63
DRD2	GNAS	0.639
DRD2	MAOB	0.647
DRD2	HTR2A	0.799
DRD2	CPX-8432	0.991
CPX-3156	CTNNA3	0.488
GNAS	HTR2A	0.932
GNAS	SRC	0.942
GNAS	DRD1	0.994
GNAS	CPX-8432	0.999
CYP2C19	GRIP1	0.428
CYP2C19	HTR2A	0.51
CYP2C19	MAOB	0.944
SRC	HTR2A	0.416
SRC	HTR1D	0.535
SRC	DRD1	0.573
SRC	CPX-8432	0.613
HTR1D	HTR2A	0.518
HTR1D	MAOB	0.779
HTR1D	CPX-8432	0.973
MAOB	DRD1	0.59
MAOB	HTR2A	0.687
CPX-8432	HTR2A	0.824
CPX-8432	DRD1	0.927
DRD4	GPSM2	0.4
DRD4	NOS1AP	0.406
DRD4	POMC	0.419
DRD4	PRODH	0.423
DRD4	DDC	0.428
DRD4	MPDZ	0.446
DRD4	MC4R	0.447
DRD4	CPX-168	0.45
DRD4	CPX-187	0.45
DRD4	CPX-2170	0.45
DRD4	CPX-218	0.45
DRD4	CPX-2180	0.45
DRD4	CPX-2192	0.45
DRD4	CPX-2193	0.45
DRD4	CPX-240	0.45
DRD4	DAO	0.457
DRD4	SLC18A2	0.475
DRD4	ADRB2	0.477
DRD4	RGS4	0.48
DRD4	CPX-285	0.482
DRD4	CPX-294	0.482
DRD4	AGTR2	0.543
DRD4	AGT	0.55
DRD4	NPY2R	0.553
DRD4	DRD5	0.577
DRD4	CPX-1910	0.6
DRD4	CPX-2159	0.608
DRD4	CPX-2952	0.608
DRD4	CPX-2953	0.608
DRD4	CPX-8574	0.608
DRD4	CPX-8576	0.608
DRD4	CPX-8577	0.608
DRD4	CPX-8578	0.608
DRD4	CPX-8580	0.608
DRD4	CPX-8581	0.608
DRD4	MTHFR	0.629
DRD4	SLC6A2	0.645
DRD4	DAOA	0.649
DRD4	AVPR1A	0.649
DRD4	SNAP25	0.658
DRD4	LRTOMT	0.698
DRD4	TH	0.708
DRD4	GNAI3	0.724
DRD4	GNAI2	0.73
DRD4	CPX-2203	0.732
DRD4	ANKK1	0.783
DRD4	DBH	0.784
DRD4	COMT	0.942
DRD4	DRD3	0.943
DRD4	SLC6A3	0.96
SLC6A2	CPX-168	0.404
SLC6A2	CPX-218	0.404
SLC6A2	CPX-2180	0.404
SLC6A2	CPX-2203	0.404
SLC6A2	SNAP25	0.466
SLC6A2	ADRB2	0.471
SLC6A2	CYP2D6	0.492
SLC6A2	DRD5	0.506
SLC6A2	DRD1	0.514
SLC6A2	DRD3	0.521
SLC6A2	DDC	0.526
SLC6A2	LRTOMT	0.59
SLC6A2	DRD2	0.632
SLC6A2	MAOB	0.685
SLC6A2	COMT	0.696
SLC6A2	DBH	0.723
SLC6A2	MAOA	0.738
SLC6A2	TH	0.771
SLC6A2	SLC18A2	0.815
DAO	CPX-4101	0.409
DAO	CPX-909	0.409
DAO	GNAL	0.424
DAO	DRD2	0.439
DAO	MAOA	0.447
DAO	SLC6A4	0.471
DAO	CPX-2202	0.477
DAO	CPX-294	0.477
DAO	DRD1	0.488
DAO	MAOB	0.489
DAO	CPX-285	0.491
DAO	DRD3	0.522
DAO	NOS1AP	0.533
DAO	CPX-2159	0.579
DAO	CPX-2952	0.579
DAO	CPX-2953	0.579
DAO	CPX-8574	0.579
DAO	CPX-8576	0.579
DAO	CPX-8577	0.579
DAO	CPX-8578	0.579
DAO	CPX-8580	0.579
DAO	CPX-8581	0.579
DAO	COMT	0.607
DAO	RGS4	0.63
DAO	MTHFR	0.633
DAO	DISC1	0.682
DAO	PRODH	0.691
DAO	CPX-1910	0.779
DAO	DAOA	0.987
GNB3	COMT	0.416
GNB3	RGS9	0.439
GNB3	AVPR1A	0.44
GNB3	GPSM2	0.445
GNB3	MTHFR	0.506
GNB3	CPX-1062	0.538
