GO_term,Term_Name_Clean,Ontology
GO:0006468,Protein Phosphorylation,Biological process
GO:0016310,Phosphorylation,Biological process
GO:0045893,Positive Regulation Of DNA-templated Transcription,Biological process
GO:1903508,Positive Regulation Of Nucleic Acid-Templated Transcription,Biological process
GO:0036211,Protein Modification Process,Biological process
GO:0006412,Translation,Biological process
GO:0046777,Protein Autophosphorylation,Biological process
GO:0018105,Peptidyl-Serine Phosphorylation,Biological process
GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II,Biological process
GO:0018209,Peptidyl-Serine Modification,Biological process
GO:0006355,Regulation Of DNA-templated Transcription,Biological process
GO:0010467,Gene Expression,Biological process
GO:0032543,Mitochondrial Translation,Biological process
GO:0009059,Macromolecule Biosynthetic Process,Biological process
GO:0006974,DNA Damage Response,Biological process
GO:0006357,Regulation Of Transcription By RNA Polymerase II,Biological process
GO:0043043,Peptide Biosynthetic Process,Biological process
GO:0140053,Mitochondrial Gene Expression,Biological process
GO:0006338,Chromatin Remodeling,Biological process
GO:0042127,Regulation Of Cell Population Proliferation,Biological process
GO:0042981,Regulation Of Apoptotic Process,Biological process
GO:0006281,DNA Repair,Biological process
GO:0002181,Cytoplasmic Translation,Biological process
GO:0006282,Regulation Of DNA Repair,Biological process
GO:0006259,DNA Metabolic Process,Biological process
GO:0010628,Positive Regulation Of Gene Expression,Biological process
GO:0048522,Positive Regulation Of Cellular Process,Biological process
GO:0010468,Regulation Of Gene Expression,Biological process
GO:0008284,Positive Regulation Of Cell Population Proliferation,Biological process
GO:0015986,Proton Motive Force-Driven ATP Synthesis,Biological process
GO:0051726,Regulation Of Cell Cycle,Biological process
GO:0042776,Proton Motive Force-Driven Mitochondrial ATP Synthesis,Biological process
GO:0010604,Positive Regulation Of Macromolecule Metabolic Process,Biological process
GO:0042775,Mitochondrial ATP Synthesis Coupled Electron Transport,Biological process
GO:0045892,Negative Regulation Of DNA-templated Transcription,Biological process
GO:0019646,Aerobic Electron Transport Chain,Biological process
