Cluster_ID,Protein_ID,Degree
0,GLB1,60
0,ASAH1,41
0,GALNS,39
0,FUCA1,36
0,MAN2B1,33
1,CPX-6223,131
1,CPX-5675,130
1,SERPINC1,117
1,C4B,111
1,CD59,99
2,RPE65,127
2,PDE6B,123
2,ENTPD3,105
2,PDE6A,100
2,GUCY2D,99
3,PJVK,60
3,GRXCR1,59
3,TPRN,57
3,ESPN,55
3,TRIOBP,54
4,CYP1A2,170
4,CPX-8552,149
4,CPX-8560,149
4,CYP2C9,148
4,CPX-8563,147
5,CPX-902,843
5,CPX-1114,799
5,CPX-1048,799
5,CPX-2341,767
5,CPX-998,747
6,TSFM,127
6,EARS2,114
6,DARS2,109
6,IARS2,104
6,CPX-2208,101
7,CPX-6233,251
7,CPX-6176,219
7,SHMT2,206
7,CPX-6175,192
7,FH,192
8,CPX-1822,219
8,CPX-1736,162
8,CPX-1759,158
8,CPX-1728,157
8,CPX-1727,157
9,IRF1,321
9,TLR9,284
9,IRF8,284
9,TLR3,276
9,IL7,272
10,CPX-1195,1660
10,CPX-1222,1650
10,CPX-1204,1650
10,CPX-1212,1648
10,CPX-1226,1648
11,EP300,955
11,CPX-2213,841
11,CPX-2329,841
11,CPX-2327,841
11,CPX-2316,841
12,CPX-477,620
12,CPX-2757,617
12,CPX-2818,604
12,CPX-2766,603
12,CPX-2769,603
13,CPX-8041,622
13,CPX-8261,622
13,CPX-8122,619
13,CPX-8262,619
13,CPX-8087,619
