eps,min_samples,Num Clusters (valid),Num Ruido,Porcentaje Ruido,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
0.0064,90,2,5116,94.91651205936921,0.9005945227239328,0.14645435724360972,10792.87492570354
0.0064,80,2,5101,94.63821892393321,0.8965762585568491,0.1530284053586843,10877.483660644106
0.0064,70,2,5096,94.54545454545455,0.8952094921745479,0.15503278993782538,10853.326170550343
0.0064,60,2,5085,94.34137291280148,0.8916665189105741,0.1600206015820095,10610.429867176868
0.001,30,4,5211,96.67903525046381,0.8824922911940689,0.1527890920566214,11710.615631665909
0.0119,150,2,5016,93.06122448979592,0.8686946434548062,0.19035252847632073,8961.647466368173
0.0119,100,2,4947,91.78107606679036,0.8463789044661642,0.2200242693296909,7728.583396205031
0.0119,90,2,4936,91.57699443413729,0.8431901352320378,0.2248241780491124,7583.425809327081
0.001,16,7,5149,95.52875695732838,0.8274687368635617,0.2258069644402416,13183.862427496559
0.001,18,7,5151,95.56586270871985,0.8267566646261697,0.22540924752583041,13164.309688076715
0.001,20,6,5170,95.91836734693877,0.8156658508609764,0.25414709087186177,7967.682071406761
0.0173,150,2,4834,89.68460111317255,0.8114920950015124,0.27018905052661096,6430.284933256723
0.001,14,12,5075,94.15584415584416,0.8080939071076704,0.25511556249910444,10766.047796602854
0.0064,50,3,5016,93.06122448979592,0.8040866182282438,0.24827584349966844,5939.690853708781
0.001,12,16,5013,93.00556586270872,0.7940007630284587,0.2590647418323604,11136.51536136356
0.001,10,19,4982,92.430426716141,0.7873994979330471,0.2737014134245886,9969.817298367652
0.0228,200,2,4701,87.21706864564007,0.769674532105253,0.3286234175214224,5150.351529507103
0.001,6,33,4867,90.29684601113172,0.7578991979843375,0.301736868938504,7085.834769174227
0.001,8,23,4945,91.74397031539888,0.755534748898908,0.32057405261736627,8575.200783664062
0.0064,40,5,4928,91.42857142857143,0.7440244563429566,0.43611046937607584,3595.4396866664606
0.001,4,54,4755,88.21892393320965,0.7090619982623156,0.40413652278879764,5401.39095270969
0.0119,80,3,4815,89.33209647495362,0.7078579745780891,0.43281530129020257,4285.289836090571
0.0173,100,2,4556,84.52690166975881,0.7063679554677635,0.4158577357117902,3333.2171246439816
0.0173,90,2,4522,83.8961038961039,0.7003101880408334,0.42284369207334743,3312.6925306777757
0.0119,70,3,4796,88.9795918367347,0.6987440453474392,0.44674695876121495,4212.47183832937
0.0064,30,5,4866,90.27829313543599,0.695596973967874,0.5710593787415654,3128.1651057230406
0.0173,80,2,4503,83.54359925788498,0.6955643826036533,0.4277872750732342,3241.916687198106
0.0228,150,2,4449,82.5417439703154,0.6883660825396303,0.4438818782380404,3367.7375270903653
0.0282,200,2,4377,81.20593692022263,0.6766013494255535,0.4644185932103712,3394.5478121607507
0.0173,70,3,4271,79.23933209647495,0.675751035936751,0.43542846789260015,2488.232569226026
0.0064,20,12,4545,84.32282003710576,0.6719591256955769,0.3800007650270971,2224.846395042346
0.001,2,187,4444,82.44897959183673,0.6623567850353205,0.4060070356576828,2693.56021767187
0.0228,100,3,4154,77.06864564007421,0.6599219822528001,0.45690221731355374,2443.8760484002173
0.0064,18,14,4455,82.6530612244898,0.6593446456745915,0.41309323268853865,2006.0741780785465
0.0173,60,5,4058,75.28756957328386,0.6586434722581368,0.4460698233400004,1889.0185895102836
0.0119,60,3,4711,87.40259740259741,0.6465806231160994,0.5583073738249659,3869.695914028268
0.0228,90,3,4051,75.15769944341373,0.6464956404537007,0.48054142233276914,2535.582589027661
0.0064,16,15,4374,81.15027829313544,0.6456132207822736,0.40381495130326794,1802.7621437337555
0.0282,150,2,4208,78.07050092764378,0.6418578258777968,0.5178654884147066,3140.4221448470025
0.0119,50,4,4618,85.67717996289424,0.641312197843776,0.5066837260310675,3314.27007269624
0.0228,80,3,3978,73.80333951762523,0.635754509145084,0.4963800242891119,2512.3351611395633
0.0337,200,2,4106,76.17810760667903,0.627939514844752,0.5456622393324504,3220.628656672404
0.0173,50,6,3868,71.76252319109462,0.627644535114505,0.4612068257045386,1601.7232245922748
0.0173,40,7,3729,69.18367346938776,0.6127912795911468,0.47127731139785606,1507.5376525899974
0.0282,100,3,3782,70.16697588126159,0.6064405810630289,0.5459166793412045,2542.4155916160885
0.0337,150,3,3776,70.0556586270872,0.6040451679110727,0.5432509480788886,2419.796429831811
0.0228,70,4,3801,70.51948051948051,0.6017331433908654,0.5542185133157815,2096.5526351319777
0.0282,90,3,3681,68.29313543599258,0.5925841674795508,0.5720692443399277,2526.644729421496
0.0064,14,17,4288,79.55473098330242,0.5867390989369281,0.4737921472640682,1585.9927468700948
