min_cluster_size,min_samples,cluster_selection_epsilon,alpha,Num Clusters (valid),Num Ruido,Porcentaje Ruido,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
40,40,0.0,1.5,8,4357,80.83487940630798,0.6787243370152706,0.4280899833216697,1706.833076918871
40,25,0.0,2.0,9,4363,80.94619666048237,0.6786009153760258,0.4354811032879958,1488.0063745696227
100,100,0.0,2.0,3,4271,79.23933209647495,0.674560953328671,0.4518521498975305,2597.2192839763325
150,100,0.0,2.0,3,4271,79.23933209647495,0.674560953328671,0.4518521498975305,2597.2192839763325
12,10,0.0,2.0,28,4314,80.03710575139146,0.6731420662523303,0.4052393470360997,1149.825598730734
10,10,0.0,2.0,30,4319,80.12987012987013,0.6704284015651037,0.4114193090376869,1134.9487449885987
200,100,0.0,2.0,2,4422,82.0408163265306,0.6700775559200675,0.4666515263764209,2974.0163769452533
4,4,0.0,2.0,66,4197,77.86641929499072,0.669719699777483,0.4552657904003162,966.1865614434068
12,9,0.0,2.0,29,4304,79.85157699443414,0.6685008920252145,0.40126948850817257,1110.0112604337846
8,8,0.0,2.0,32,4265,79.12801484230056,0.667053459867633,0.40956834223911004,1061.2486742755616
14,10,0.0,2.0,25,4337,80.46382189239331,0.6658883578528417,0.4247327521236833,1246.1810246689706
10,9,0.0,2.0,30,4293,79.64749536178107,0.6641790221954289,0.416659464208753,1087.8169706751353
200,75,0.0,2.0,2,4401,81.65120593692022,0.6637272208614479,0.47436684392905853,2898.308470053734
12,8,0.0,2.0,29,4278,79.36920222634508,0.661984417495626,0.4102124802607925,1055.002960210326
10,8,0.0,2.0,30,4268,79.18367346938776,0.6615836504920786,0.4137667833793269,1034.1500593368419
8,7,0.0,2.0,38,4207,78.05194805194805,0.6608549933455653,0.4408762102755543,1099.6976725774512
20,20,0.0,2.0,14,4307,79.90723562152134,0.6604873050976496,0.3896655463421377,1370.8174028320602
12,7,0.0,2.0,31,4245,78.75695732838591,0.6593209237704791,0.4386678256714292,1178.8961353666593
20,15,0.0,2.0,13,4231,78.49721706864564,0.6584400848282405,0.43520312224382945,1561.801780926133
16,10,0.0,2.0,20,4396,81.55844155844156,0.6574467894529623,0.44312788895671773,1468.2309151647873
30,15,0.0,2.0,12,4255,78.94248608534323,0.6571074966105155,0.4421299223531816,1618.8554443329572
30,30,0.0,2.0,10,4463,82.80148423005565,0.6563332170587574,0.4021333315581277,1103.7659953882978
10,7,0.0,2.0,32,4246,78.77551020408163,0.6562816560669723,0.4291258041963789,1204.3470706496519
50,35,0.0,1.5,7,4351,80.72356215213358,0.6554486141868642,0.46983274413467196,1770.4896523879006
60,35,0.0,1.5,7,4351,80.72356215213358,0.6554486141868642,0.46983274413467196,1770.4896523879006
16,15,0.0,2.0,14,4213,78.16326530612245,0.6547468571940717,0.43000085382920294,1473.7502916779006
18,15,0.0,2.0,14,4213,78.16326530612245,0.6547468571940717,0.43000085382920294,1473.7502916779006
40,35,0.0,1.5,9,4364,80.9647495361781,0.654626911359504,0.41320348965594733,1300.5246957995319
80,75,0.0,2.0,3,4202,77.9591836734694,0.6540704062908217,0.5056758787687028,2435.7722279020536
90,75,0.0,2.0,3,4202,77.9591836734694,0.6540704062908217,0.5056758787687028,2435.7722279020536
100,75,0.0,2.0,3,4202,77.9591836734694,0.6540704062908217,0.5056758787687028,2435.7722279020536
150,75,0.0,2.0,3,4202,77.9591836734694,0.6540704062908217,0.5056758787687028,2435.7722279020536
6,3,0.0,2.0,62,4171,77.38404452690168,0.6534014792060031,0.507993853731097,885.2892189419363
50,30,0.0,1.5,7,4339,80.50092764378479,0.6526556038599611,0.4745404045603709,1768.7159937153917
60,30,0.0,1.5,7,4339,80.50092764378479,0.6526556038599611,0.4745404045603709,1768.7159937153917
40,25,0.0,1.5,10,4203,77.97773654916512,0.652613785760001,0.4685578736275188,1493.185973819149
30,25,0.0,2.0,12,4345,80.61224489795919,0.652399253532204,0.41703604879340656,1169.7208007308514
40,30,0.0,1.0,10,4179,77.53246753246754,0.6523667897912024,0.4641974377964706,1844.1195987643648
14,9,0.0,2.0,24,4314,80.03710575139146,0.6514977812274604,0.4608855301096401,1236.7668236161028
14,7,0.0,2.0,25,4291,79.6103896103896,0.6508817936257166,0.4466958428908987,1387.5809984433424
40,25,0.0,1.0,11,4137,76.75324675324676,0.6504554526852453,0.46238327565666215,1645.4408581543657
40,20,0.0,2.0,10,4262,79.07235621521336,0.6498961269115202,0.5214173650238989,1305.872506267071
100,100,0.0,1.5,3,4122,76.47495361781075,0.6490233991515626,0.4915122506648588,2582.964111575545
150,100,0.0,1.5,3,4122,76.47495361781075,0.6490233991515626,0.4915122506648588,2582.964111575545
200,100,0.0,1.5,3,4122,76.47495361781075,0.6490233991515626,0.4915122506648588,2582.964111575545
18,9,0.0,2.0,19,4230,78.4786641929499,0.6489829666520887,0.46496258665391327,975.3818288923147
16,7,0.0,2.0,22,4173,77.42115027829314,0.6485270563649119,0.4566648108472023,939.7630570095064
30,30,0.0,1.5,12,4304,79.85157699443414,0.6485223199813986,0.413228466824263,1425.9810614904973
40,30,0.0,1.5,9,4346,80.63079777365492,0.6476105100920779,0.4201306902102779,1314.2683875674643
6,4,0.0,2.0,55,4153,77.05009276437848,0.6466700591607785,0.48440545738316654,847.1415300940018
18,8,0.0,2.0,19,4209,78.08905380333951,0.6465455248337901,0.4801375107489016,967.5763437117239
14,8,0.0,2.0,25,4299,79.75881261595548,0.6465455134509209,0.45802831276886397,1176.664921812343
50,25,0.0,1.5,7,4335,80.42671614100185,0.6459388173257796,0.4831782069561695,1737.684681956628
60,25,0.0,1.5,7,4335,80.42671614100185,0.6459388173257796,0.4831782069561695,1737.684681956628
8,4,0.0,2.0,48,4185,77.64378478664193,0.6458146375433796,0.5033739499412438,924.8669295601708
18,7,0.0,2.0,20,4184,77.6252319109462,0.6447852922968819,0.47767895698223206,983.8372924386568
60,20,0.0,1.0,7,4313,80.01855287569573,0.644625584538509,0.48105167283100136,1867.2525119483103
50,50,0.0,1.0,7,4294,79.6660482374768,0.6441099485040228,0.49020888052422507,1940.8637907962052
60,50,0.0,1.0,7,4294,79.6660482374768,0.6441099485040228,0.49020888052422507,1940.8637907962052
16,8,0.0,2.0,21,4176,77.47680890538034,0.644009180540795,0.480089644221852,912.0055044205303
4,3,0.0,2.0,81,4127,76.56771799628942,0.643126092807441,0.4832096839520641,803.8502044875222
16,9,0.0,2.0,22,4180,77.55102040816327,0.6427717788335453,0.46643490992131303,889.5648798947384
50,20,0.0,1.0,8,4261,79.05380333951763,0.6426826262612395,0.47560895971314343,1816.3595003078972
40,15,0.0,2.0,10,4263,79.0909090909091,0.6426789855841071,0.5381967245539435,1456.4835528316482
30,25,0.0,1.5,13,4242,78.70129870129871,0.6406755732528341,0.42482392440468364,1437.369342605083
60,35,0.0,2.0,4,4511,83.69202226345084,0.6392841301530523,0.4923024354972242,1297.151566897222
18,10,0.0,2.0,17,4265,79.12801484230056,0.6391165304935967,0.4846472907017243,1074.6615575604744
50,45,0.0,1.0,7,4278,79.36920222634508,0.6386580541575198,0.5003738605885352,1920.5711843245444
60,45,0.0,1.0,7,4278,79.36920222634508,0.6386580541575198,0.5003738605885352,1920.5711843245444
30,20,0.0,2.0,12,4299,79.75881261595548,0.6385952545087518,0.42235029647796335,1218.9207996973437
50,20,0.0,2.0,7,4387,81.39146567717997,0.6382463717909572,0.5767995849965023,1480.1486617563558
40,40,0.0,2.0,7,4393,81.50278293135436,0.6376277650337204,0.4740037670714354,967.3948754586174
40,7,0.0,2.0,13,4228,78.44155844155844,0.637182049849052,0.5285957463208659,1342.3697317198557
60,50,0.0,1.5,4,4441,82.39332096474953,0.6368397984606954,0.506153025259071,1534.490611846512
8,3,0.0,2.0,52,4132,76.6604823747681,0.6357728045299493,0.5300837920682263,967.812327070474
6,5,0.0,2.0,50,4119,76.41929499072356,0.6344105378685376,0.440556924533313,817.788171897562
16,15,0.0,1.5,23,4093,75.93692022263451,0.6339412433023148,0.44559215110572126,931.336562865704
40,30,0.0,2.0,7,4363,80.94619666048237,0.6336667119878886,0.49414336258072616,1002.5344500619633
50,15,0.0,2.0,7,4389,81.42857142857143,0.6324012438708478,0.5897828252767583,1653.9750115675065
18,15,0.0,1.5,19,4134,76.69758812615956,0.6313983914192582,0.45823986293340846,975.6597640183195
40,20,0.0,1.0,13,4133,76.67903525046383,0.6311010160648867,0.43741278774801384,1349.0441668355033
50,20,0.0,1.5,8,4254,78.92393320964749,0.6308085622497351,0.5185078382348749,1642.819097335399
60,20,0.0,1.5,8,4254,78.92393320964749,0.6308085622497351,0.5185078382348749,1642.819097335399
20,20,0.0,1.5,15,4160,77.1799628942486,0.6304215908135856,0.44472074879693296,1284.3467079174688
60,30,0.0,1.0,7,4261,79.05380333951763,0.630086771591325,0.5107229779871895,1816.2428521480756
20,10,0.0,2.0,15,4282,79.44341372912801,0.629919124860934,0.511597642569738,1197.843507102599
30,10,0.0,2.0,15,4282,79.44341372912801,0.629919124860934,0.511597642569738,1197.843507102599
40,35,0.0,2.0,7,4365,80.98330241187384,0.6295007917641743,0.4903221489171479,932.2035690391624
