protein_id,cluster_label
DRD4,5
GNB3,5
GNB4,5
AKR1D1,4
CYP2C9,4
SLC6A4,5
GNB5,5
IDE,-1
QDPR,-1
HTR6,5
ADORA2B,5
GNB2,5
LEP,-1
HTR1A,5
GNAL,5
HTR7,5
MAOA,-1
CPX-2175,5
CPX-271,5
CPX-272,5
CPX-273,5
CPX-276,5
HTR4,-1
DRD2,5
CPX-3156,5
GNAS,-1
CYP2C19,4
SRC,-1
HTR1D,5
MAOB,-1
CPX-8432,-1
SLC6A2,5
DAO,-1
SNAP25,5
RGS9,-1
GNAO1,5
SLC6A3,5
CPX-2159,5
CPX-2952,5
CPX-2953,5
CPX-8574,5
CPX-8576,5
CPX-8577,5
CPX-8578,5
CPX-8580,5
CPX-8581,5
CPX-5225,-1
CPX-1062,-1
CPX-1069,-1
CPX-1070,-1
CPX-1120,-1
CPX-1134,-1
CPX-1180,-1
AVPR1A,5
MC4R,5
ADRB2,5
LRTOMT,-1
DRD5,5
ANKK1,5
GNAI2,5
MPDZ,-1
GHRHR,-1
CPX-2202,5
CPX-294,5
NPY2R,5
CPX-1910,-1
CYP1A2,4
LINGO1,-1
PRODH,-1
COMT,-1
NOS1AP,5
AGT,-1
CPX-168,5
CPX-187,5
CPX-2170,5
CPX-218,5
CPX-2180,5
CPX-2192,5
CPX-2193,5
CPX-240,5
CPX-117,-1
CPX-122,-1
GNAI3,5
PITX3,-1
CPX-2203,5
AGTR2,5
GLP1R,-1
PIP4K2A,-1
MTHFR,-1
TH,-1
DRD3,5
CPX-7724,-1
DBH,5
DRD1,5
GRM2,5
POMC,-1
CPX-4101,5
CPX-909,5
GPSM2,5
CXCR4,-1
RGS4,5
DDC,-1
DISC1,-1
CPX-285,5
ADORA2A,-1
NR3C1,-1
CUX2,-1
ALDH2,-1
CPX-210,5
CPX-213,5
CPX-2190,5
CPX-2200,5
CPX-6041,-1
CPX-6043,-1
CPX-6044,-1
CPX-6046,-1
CPX-6049,-1
HTR2C,5
RHO,-1
ADCY1,-1
ADRA1B,5
CPX-2164,5
CPX-2166,5
CPX-2167,5
CPX-2168,5
CPX-2174,5
CPX-2951,5
CPX-2954,5
CPX-8571,5
CPX-8573,5
CPX-8575,5
CPX-8579,5
CPX-8701,5
CPX-8729,5
CPX-8731,5
CPX-8732,5
TSPEAR,-1
DNAAF4,-1
TPH2,-1
CPX-8673,5
CPX-8674,5
CPX-8675,5
CPX-8676,5
ADRB1,5
CPX-286,5
CPX-289,5
ADRA1D,5
CHRM2,5
TTC12,-1
CPX-3278,5
KCNJ6,5
CPX-6841,-1
CPX-2396,-1
CPX-2397,-1
CPX-2398,-1
CPX-7978,-1
CPX-915,-1
CPX-930,-1
CPX-577,-1
GHSR,5
SMO,-1
THAP1,-1
CPX-2955,5
SYT1,5
PPP2R5A,-1
PPP2R3C,5
PDGFRB,-1
CPX-2469,-1
WNT5A,-1
CPX-3195,5
CPX-8861,5
CDK2,-1
EGFR,-1
SIGMAR1,-1
NTRK2,-1
SLC1A2,-1
GRM1,5
GNAQ,-1
CPX-1001,-1
CPX-1002,-1
CPX-1003,-1
CPX-1009,5
CPX-102,-1
CPX-1048,5
CPX-1050,-1
CPX-1112,5
CPX-1114,5
CPX-1116,-1
CPX-1118,-1
CPX-2341,5
CPX-674,-1
CPX-902,5
CPX-998,5
CCR2,-1
HCRT,5
SSTR5,5
CPX-8767,5
SLC45A2,-1
CYP2A6,4
ACHE,-1
GRM5,5
CPX-2491,-1
CPX-480,-1
CPX-486,-1
CPX-6416,-1
CPX-6477,-1
CPX-6564,-1
CPX-6783,-1
PRKACA,5
ARR3,-1
GRK2,-1
DVL3,-1
CPX-2201,-1
CPX-3142,-1
BACE1,5
CPX-2236,-1
CPX-8601,-1
CPX-8604,-1
CPX-8605,-1
CPX-8606,-1
CPX-8607,-1
GSK3B,-1
RARB,-1
CPX-3239,5
RGS9BP,-1
CHAT,-1
EDN3,-1
EPB41L1,-1
HRH3,5
NR4A2,-1
TOR1A,-1
OCA2,-1
HTT,-1
SREBF1,-1
SSTR2,5
GRM7,5
CPX-3032,5
CPX-3065,5
RXRG,-1
ZNF148,-1
CNTNAP2,-1
GRM3,5
PDE10A,-1
ADORA1,5
CNR1,-1
HTR1B,-1
PRKACB,5
CACNA1B,5
DNM1,5
CPX-652,-1
CPX-716,-1
CPX-871,-1
SLITRK1,5
PRKACG,5
DPP6,5
EDN1,-1
DPP10,-1
PPP2R2B,-1
CPX-2476,-1
HRH1,5
CPX-943,-1
CPX-6244,-1
ADRA2C,5
SAG,-1
CPX-2494,-1
CPX-6405,-1
CPX-8,-1
RARG,-1
CTNNA3,-1
CPX-8636,5
SLC4A4,-1
OPRM1,5
CPX-8468,5
CPX-8503,5
CPX-8525,5
CPX-8545,5
CPX-8553,5
CPX-8556,5
CPX-8630,5
CPX-8632,5
CPX-8634,5
AGTR1,-1
CPX-5156,-1
CPX-8702,5
CPX-8721,5
CPX-8723,5
CPX-8724,5
CPX-8727,5
CPX-665,-1
PPP2R5D,-1
FTO,-1
ADCY5,-1
NTRK1,-1
HTR2A,5
PDYN,5
FKBP5,-1
AKT1,-1
CPX-1795,-1
CPX-1799,-1
CPX-8572,-1
ADRA2B,5
SSTR3,-1
CPX-2004,-1
CPX-2006,-1
PTPN11,-1
CPX-316,-1
CYP2D6,-1
SLC18A2,5
CDC42,-1
CPX-6186,5
CPX-6189,5
TPM3,5
CALM1,5
FAAH,-1
HTR2B,5
CPX-3072,5
CPX-3073,5
TRPA1,5
SLC5A7,-1
BCHE,-1
GAL,5
CPX-702,-1
CPX-711,-1
HTR5A,5
FEV,-1
HTR1E,5
CC2D1A,-1
KCNK18,5
SERPINA6,-1
CPX-490,-1
CPX-6420,-1
CPX-6474,-1
CPX-6562,-1
CPX-6786,-1
CPX-7005,-1
CPX-7063,-1
CPX-7100,-1
FGFR1,-1
TRPV1,5
GNA11,-1
MAPK13,-1
CYSLTR2,5
CACNA1D,5
CHRM1,5
P2RY12,-1
CPX-2808,-1
PLCB1,-1
CAV1,-1
TRIO,5
NTRK3,-1
CPX-3192,5
CPX-8699,5
CPX-8725,5
CPX-8726,5
CPX-8740,5
CPX-8741,5
CPX-8742,5
CPX-8743,5
CPX-8762,5
CPX-8763,5
CPX-8764,5
CPX-8768,5
CPX-8769,5
CPX-8771,5
CPX-8772,5
CPX-8773,5
PLA2G4A,-1
XIAP,-1
CYSLTR1,-1
CACNA1F,-1
MAB21L1,-1
ADRA1A,5
GRK5,5
IGF2,-1
CPX-4424,-1
TRIM32,-1
PLCB3,-1
BDKRB2,5
SYN2,5
GRIA3,5
CASK,-1
MAPK14,-1
HRH4,-1
IL1B,-1
ERBB2,-1
ABL1,-1
IGF1,-1
BRAF,-1
CHRM3,5
CPX-2531,-1
ADRA2A,5
AGRP,5
P2RY1,-1
MKRN3,-1
ADRB3,-1
ADARB1,5
ADAR,-1
NHLH2,-1
CPX-3153,-1
EDNRB,-1
KCNA1,5
SLC6A1,5
MAGEL2,5
CPX-6096,-1
FYN,-1
NPPA,-1
STX1A,-1
OPRD1,5
APOE,-1
SLC1A1,-1
GALM,7
SLC22A3,-1
GPD1L,5
ACE,-1
SLC17A8,-1
GATA2,-1
LMX1B,-1
SLC22A2,4
YRDC,-1
SLC18A3,5
SLC22A6,-1
HCRTR1,5
CPX-623,-1
MECP2,-1
CPX-2805,-1
CPX-8826,-1
CPX-8828,-1
CPX-8931,-1
CPX-8932,-1
CPX-8933,-1
VAMP2,-1
ABCB1,-1
PYGM,-1
FTH1,-1
SERPING1,1
ROM1,2
DGKE,-1
CPX-2179,-1
CPX-255,-1
ITPR1,5
MAP3K11,-1
CPX-6123,-1
CPX-497,-1
CPX-5850,-1
CPX-7062,-1
KCNQ2,5
CPX-2173,-1
CPX-3186,-1
CPX-3187,-1
LPAR6,5
CHRM5,5
CPX-5828,-1
CPX-5829,-1
CPX-5834,-1
CPX-5835,-1
MARK2,-1
PIK3R5,-1
PIK3CG,-1
PLCD1,-1
CPX-4302,-1
BTK,-1
APOL1,-1
PDE4B,-1
ADCY3,-1
CHRM4,5
CFTR,-1
PKP2,5
CPX-3271,5
CPX-2424,-1
CPX-2443,5
CPX-2453,5
CPX-2454,5
CPX-2455,5
GLA,-1
STUB1,-1
MYL2,5
CPX-873,-1
CPX-3071,5
KCNA5,5
TRPM4,5
CPX-197,5
CPX-199,5
CASQ2,5
DSG2,5
CPX-131,5
KCNQ4,-1
KCNN2,5
KCNC1,5
CPX-8639,5
CPX-8640,5
CPX-8643,5
CPX-8644,5
CPX-8661,5
CPX-8662,5
CPX-8665,5
CPX-8667,5
CPX-8669,5
CPX-8671,5
CPX-8677,5
CPX-8680,5
CPX-8681,5
CPX-8684,5
CPX-8685,5
CPX-8690,5
CPX-8691,5
CPX-8694,5
DSC2,5
FLT1,-1
GJA1,-1
CPX-8663,5
CPX-8664,5
KCNMA1,5
PRKAG2,-1
ALB,-1
CPX-128,-1
CPX-130,-1
CPX-8641,5
CPX-8642,5
TMEM43,-1
KCNK3,5
TBX5,-1
KCNE3,5
CPX-3256,5
CALR,-1
CPX-8645,5
CPX-8646,5
CPX-8666,5
CPX-8668,5
CPX-8670,5
CPX-8672,5
CPX-8678,5
CPX-8679,5
CPX-8682,5
CPX-8683,5
CPX-8686,5
CPX-8687,5
CPX-8692,5
CPX-8693,5
CPX-61,-1
KCNA4,5
TRDN,5
CACNA1H,5
CPX-3288,-1
CPX-496,-1
CPX-517,-1
CPX-3280,5
CAV3,5
KCNQ5,5
CPX-195,5
MYH7,5
AKAP9,-1
ANK2,-1
TPM1,-1
CACNA1G,5
DSC3,5
ACTN2,5
LMNA,-1
CPX-3285,-1
KCNB1,5
KCNT1,5
KCNE5,5
HSPA1A,-1
DNAJA1,-1
KCNQ3,5
KCNJ1,-1
JUP,-1
NEDD4L,-1
MYH6,-1
KCNK2,5
ERG,-1
KCNC3,5
CPX-5824,-1
ATP2A2,-1
MYBPC3,5
TTN,-1
KCNN3,5
GJA5,5
KCNA2,5
KCNN4,-1
CPX-478,-1
APEX1,-1
NTHL1,-1
SETX,-1
TARDBP,-1
UNG,-1
CPX-793,-1
LIG1,-1
TOP2B,-1
CPX-4442,-1
CPX-6266,-1
ATM,-1
CTBP1,-1
CPX-484,-1
CPX-8175,-1
SPRTN,-1
WRN,-1
FEN1,-1
OGG1,-1
PRKDC,-1
CPX-3301,-1
PNKP,-1
CPX-2358,-1
NEIL1,-1
CPX-1099,-1
NHEJ1,-1
DNA2,-1
RAD52,-1
CPX-137,-1
CPX-262,-1
CPX-8095,-1
CPX-8096,-1
CPX-8101,-1
CPX-8104,-1
CPX-8105,-1
CPX-8121,-1
CPX-8124,-1
CPX-8128,-1
CPX-8129,-1
CPX-8132,-1
CPX-8133,-1
CPX-8134,-1
CPX-8570,-1
CPX-8782,-1
CPX-8783,-1
TOP1,-1
PARP1,-1
POLL,-1
XPA,-1
TDP2,-1
DCLRE1C,-1
CPX-845,-1
CPX-955,-1
TP53BP1,-1
CPX-2395,-1
SUMO1,11
CPX-4441,-1
CHEK1,-1
CPX-2093,-1
TOP2A,-1
CPX-715,-1
CPX-2182,-1
POLI,-1
GRN,-1
CPX-467,-1
STX1B,5
MAPK12,-1
MAPK1,-1
AURKA,-1
TUBB1,-1
EEF1A2,-1
GSK3A,-1
WNT3,-1
RPS6KB1,-1
CPX-6024,-1
CTSD,-1
APOA1,-1
IAPP,-1
MAPK8IP1,-1
CPX-4310,-1
CPX-5381,-1
CPX-973,-1
PIN1,-1
TUBA4A,-1
HSPB1,-1
SIRT2,-1
ZC3H14,-1
PXDN,-1
CCDC62,-1
GFAP,-1
FUS,-1
H3-3B,-1
CHI3L1,-1
TTBK1,-1
TUBB2B,-1
SORL1,-1
ADAM10,-1
SNCAIP,-1
CSNK1A1,-1
CPX-107,-1
CPX-109,-1
CPX-442,-1
CPX-99,-1
CREBBP,-1
MARK4,-1
MAPK3,-1
ABCA7,-1
SYP,5
EP300,11
PRKCG,5
CPX-329,-1
TUBB4A,-1
CP,-1
CPX-6236,7
CPX-7906,-1
CPX-6093,-1
CPX-663,-1
CPX-759,-1
CPX-2897,-1
CPX-6030,-1
SLC25A4,-1
TRIM36,-1
MBNL1,-1
UCHL1,-1
CPX-6151,-1
CPX-2176,-1
CPX-4231,-1
CPX-4232,-1
CPX-4233,-1
CPX-2674,-1
SYN1,5
ANXA5,-1
MAP1B,-1
CPX-6129,-1
CPX-6130,-1
LRRK2,-1
CPX-7842,-1
CPX-7843,-1
MAPRE2,-1
CA4,-1
LRP8,-1
PRKCE,-1
YWHAG,-1
ADAM17,-1
BRSK1,-1
NEFH,-1
GAK,-1
GBA,-1
CPX-514,-1
TUBB6,-1
TUBB3,-1
PRKAG1,-1
HSPA5,-1
TUBA3D,-1
ATP13A2,-1
P4HB,-1
PHF6,-1
IGLL1,-1
TBK1,-1
BACE2,-1
PLA2G6,-1
TUBA8,-1
MAPK11,-1
STRADA,-1
TUBB,-1
CLCN1,-1
PARK7,-1
DYRK1A,-1
MAPT,-1
TUBB4B,-1
HNRNPA1,-1
QPCT,-1
UBQLN2,-1
CPX-850,-1
CPX-853,-1
CPX-856,-1
PRKAA1,-1
HNRNPA2B1,-1
CPX-6232,-1
ACMSD,-1
CPX-7764,-1
CPX-7765,-1
CPX-7782,-1
CHM,-1
CPX-1907,-1
CPX-975,-1
CD2AP,-1
DCTN1,-1
PRKN,-1
RD3,2
SLC41A1,-1
EPM2A,-1
SGK1,-1
UBQLN4,-1
SV2A,-1
CPX-2862,-1
NGF,-1
GSTO1,-1
L1CAM,-1
CPX-2349,-1
CPX-8305,-1
CPX-8306,-1
CPX-8322,-1
SLC9A6,-1
DNAJC6,-1
PRKAA2,-1
TREM2,-1
STXBP1,5
GSN,-1
CPX-2204,-1
CPX-2205,11
CPX-2307,11
CPX-2311,-1
CPX-2317,11
CPX-2324,-1
