proteina,GO_term,Term_Name_Clean
MAN2B1,GO:0043202,Lysosomal Lumen
GLB1,GO:0043202,Lysosomal Lumen
ASAH1,GO:0043202,Lysosomal Lumen
NAGLU,GO:0043202,Lysosomal Lumen
IDUA,GO:0043202,Lysosomal Lumen
GNS,GO:0043202,Lysosomal Lumen
ARSB,GO:0043202,Lysosomal Lumen
GALNS,GO:0043202,Lysosomal Lumen
SUMF1,GO:0043202,Lysosomal Lumen
SGSH,GO:0043202,Lysosomal Lumen
IDS,GO:0043202,Lysosomal Lumen
GM2A,GO:0043202,Lysosomal Lumen
NEU1,GO:0043202,Lysosomal Lumen
ARSG,GO:0043202,Lysosomal Lumen
B4GALNT1,GO:0043202,Lysosomal Lumen
CPX-502,GO:0043202,Lysosomal Lumen
CPX-686,GO:0043202,Lysosomal Lumen
FUCA1,GO:0043202,Lysosomal Lumen
CPX-687,GO:0043202,Lysosomal Lumen
HGSNAT,GO:0043202,Lysosomal Lumen
B4GALT1,GO:0043202,Lysosomal Lumen
NAGA,GO:0043202,Lysosomal Lumen
ST3GAL5,GO:0043202,Lysosomal Lumen
SERPING1,GO:1903027,Regulation Of Opsonization
CPX-6211,GO:1903027,Regulation Of Opsonization
CPX-6215,GO:1903027,Regulation Of Opsonization
APCS,GO:1903027,Regulation Of Opsonization
SERPINF2,GO:1903027,Regulation Of Opsonization
CPX-6205,GO:1903027,Regulation Of Opsonization
CPX-5675,GO:1903027,Regulation Of Opsonization
C4B,GO:1903027,Regulation Of Opsonization
CPX-6209,GO:1903027,Regulation Of Opsonization
CPX-6234,GO:1903027,Regulation Of Opsonization
CPX-1920,GO:1903027,Regulation Of Opsonization
CPX-6223,GO:1903027,Regulation Of Opsonization
CPX-4945,GO:1903027,Regulation Of Opsonization
CPX-5602,GO:1903027,Regulation Of Opsonization
CPX-5605,GO:1903027,Regulation Of Opsonization
SERPIND1,GO:1903027,Regulation Of Opsonization
CPX-6170,GO:1903027,Regulation Of Opsonization
CPX-6172,GO:1903027,Regulation Of Opsonization
CPX-6178,GO:1903027,Regulation Of Opsonization
CPX-6179,GO:1903027,Regulation Of Opsonization
CPX-6181,GO:1903027,Regulation Of Opsonization
SERPINC1,GO:1903027,Regulation Of Opsonization
CPX-6239,GO:1903027,Regulation Of Opsonization
CPX-6163,GO:1903027,Regulation Of Opsonization
CPX-6164,GO:1903027,Regulation Of Opsonization
CPX-5601,GO:1903027,Regulation Of Opsonization
CPX-6224,GO:1903027,Regulation Of Opsonization
CPX-6240,GO:1903027,Regulation Of Opsonization
ADAMTS13,GO:1903027,Regulation Of Opsonization
CPX-6165,GO:1903027,Regulation Of Opsonization
CPX-6203,GO:1903027,Regulation Of Opsonization
CPX-6237,GO:1903027,Regulation Of Opsonization
CPX-6238,GO:1903027,Regulation Of Opsonization
HABP2,GO:1903027,Regulation Of Opsonization
CLEC3B,GO:1903027,Regulation Of Opsonization
CFHR5,GO:1903027,Regulation Of Opsonization
CPX-6156,GO:1903027,Regulation Of Opsonization
CFHR1,GO:1903027,Regulation Of Opsonization
CFHR3,GO:1903027,Regulation Of Opsonization
CD59,GO:1903027,Regulation Of Opsonization
ROM1,GO:0007601,Visual Perception
RD3,GO:0007601,Visual Perception
KCNV2,GO:0007601,Visual Perception
CRX,GO:0007601,Visual Perception
ABCA4,GO:0007601,Visual Perception
RBP3,GO:0007601,Visual Perception
ENTPD3,GO:0007601,Visual Perception
GRK7,GO:0007601,Visual Perception
KCNJ13,GO:0007601,Visual Perception
PDE6H,GO:0007601,Visual Perception
PRPH2,GO:0007601,Visual Perception
GUCY2D,GO:0007601,Visual Perception
PDE6G,GO:0007601,Visual Perception
AIPL1,GO:0007601,Visual Perception
RLBP1,GO:0007601,Visual Perception
IMPG2,GO:0007601,Visual Perception
TULP1,GO:0007601,Visual Perception
GUCA1B,GO:0007601,Visual Perception
GNAT1,GO:0007601,Visual Perception
REEP6,GO:0007601,Visual Perception
OPN1SW,GO:0007601,Visual Perception
CNGB1,GO:0007601,Visual Perception
PDE6A,GO:0007601,Visual Perception
RDH5,GO:0007601,Visual Perception
SLC24A1,GO:0007601,Visual Perception
RPE65,GO:0007601,Visual Perception
CNGA3,GO:0007601,Visual Perception
RP9,GO:0007601,Visual Perception
CNGB3,GO:0007601,Visual Perception
ZNF513,GO:0007601,Visual Perception
CABP4,GO:0007601,Visual Perception
CLRN1,GO:0007601,Visual Perception
PCARE,GO:0007601,Visual Perception
FSCN2,GO:0007601,Visual Perception
LRAT,GO:0007601,Visual Perception
CERKL,GO:0007601,Visual Perception
RGR,GO:0007601,Visual Perception
SEMA4A,GO:0007601,Visual Perception
OPN1LW,GO:0007601,Visual Perception
EYS,GO:0007601,Visual Perception
PDE6C,GO:0007601,Visual Perception
RS1,GO:0007601,Visual Perception
RP1L1,GO:0007601,Visual Perception
SPATA7,GO:0007601,Visual Perception
RPGRIP1,GO:0007601,Visual Perception
CNGA1,GO:0007601,Visual Perception
FAM161A,GO:0007601,Visual Perception
BEST1,GO:0007601,Visual Perception
PDE6B,GO:0007601,Visual Perception
RDH12,GO:0007601,Visual Perception
RAX2,GO:0007601,Visual Perception
NRL,GO:0007601,Visual Perception
PRCD,GO:0007601,Visual Perception
OPN1MW,GO:0007601,Visual Perception
MFRP,GO:0007601,Visual Perception
NR2E3,GO:0007601,Visual Perception
PITPNM3,GO:0007601,Visual Perception
GUCA1A,GO:0007601,Visual Perception
LCA5,GO:0007601,Visual Perception
IMPG1,GO:0007601,Visual Perception
CDHR1,GO:0007601,Visual Perception
ILDR1,GO:0007605,Sensory Perception Of Sound
CLIC5,GO:0007605,Sensory Perception Of Sound
PCDH15,GO:0007605,Sensory Perception Of Sound
GRXCR2,GO:0007605,Sensory Perception Of Sound
GRXCR1,GO:0007605,Sensory Perception Of Sound
MYO3B,GO:0007605,Sensory Perception Of Sound
TPRN,GO:0007605,Sensory Perception Of Sound
PJVK,GO:0007605,Sensory Perception Of Sound
TRIOBP,GO:0007605,Sensory Perception Of Sound
CIB2,GO:0007605,Sensory Perception Of Sound
CABP2,GO:0007605,Sensory Perception Of Sound
USH1C,GO:0007605,Sensory Perception Of Sound
CDH23,GO:0007605,Sensory Perception Of Sound
OTOF,GO:0007605,Sensory Perception Of Sound
SLC26A5,GO:0007605,Sensory Perception Of Sound
GJB3,GO:0007605,Sensory Perception Of Sound
GJB2,GO:0007605,Sensory Perception Of Sound
CCDC50,GO:0007605,Sensory Perception Of Sound
CLDN14,GO:0007605,Sensory Perception Of Sound
TMPRSS3,GO:0007605,Sensory Perception Of Sound
LOXHD1,GO:0007605,Sensory Perception Of Sound
CEACAM16,GO:0007605,Sensory Perception Of Sound
USH1G,GO:0007605,Sensory Perception Of Sound
GIPC3,GO:0007605,Sensory Perception Of Sound
GJB6,GO:0007605,Sensory Perception Of Sound
TMIE,GO:0007605,Sensory Perception Of Sound
TMC1,GO:0007605,Sensory Perception Of Sound
POU4F3,GO:0007605,Sensory Perception Of Sound
OTOA,GO:0007605,Sensory Perception Of Sound
ESPN,GO:0007605,Sensory Perception Of Sound
LHFPL5,GO:0007605,Sensory Perception Of Sound
AKR1D1,GO:0019585,Glucuronate Metabolic Process
CYP2C9,GO:0019585,Glucuronate Metabolic Process
CYP2C19,GO:0019585,Glucuronate Metabolic Process
CYP1A2,GO:0019585,Glucuronate Metabolic Process
CYP2A6,GO:0019585,Glucuronate Metabolic Process
SLC22A2,GO:0019585,Glucuronate Metabolic Process
UGT1A6,GO:0019585,Glucuronate Metabolic Process
CPX-8502,GO:0019585,Glucuronate Metabolic Process
CPX-8541,GO:0019585,Glucuronate Metabolic Process
CPX-8552,GO:0019585,Glucuronate Metabolic Process
CPX-8557,GO:0019585,Glucuronate Metabolic Process
CPX-8560,GO:0019585,Glucuronate Metabolic Process
CPX-8563,GO:0019585,Glucuronate Metabolic Process
UGT1A10,GO:0019585,Glucuronate Metabolic Process
NR1I3,GO:0019585,Glucuronate Metabolic Process
UGT1A4,GO:0019585,Glucuronate Metabolic Process
UGT1A7,GO:0019585,Glucuronate Metabolic Process
UGT1A8,GO:0019585,Glucuronate Metabolic Process
BLVRA,GO:0019585,Glucuronate Metabolic Process
SLC10A1,GO:0019585,Glucuronate Metabolic Process
CYP4F2,GO:0019585,Glucuronate Metabolic Process
SULT2A1,GO:0019585,Glucuronate Metabolic Process
CYP3A5,GO:0019585,Glucuronate Metabolic Process
SLC10A2,GO:0019585,Glucuronate Metabolic Process
SLCO1B1,GO:0019585,Glucuronate Metabolic Process
SLCO1B3,GO:0019585,Glucuronate Metabolic Process
CYP46A1,GO:0019585,Glucuronate Metabolic Process
UGT2B10,GO:0019585,Glucuronate Metabolic Process
SLC47A1,GO:0019585,Glucuronate Metabolic Process
ABCC3,GO:0019585,Glucuronate Metabolic Process
SLCO2B1,GO:0019585,Glucuronate Metabolic Process
CBR1,GO:0019585,Glucuronate Metabolic Process
CPX-8562,GO:0019585,Glucuronate Metabolic Process
UGT2B4,GO:0019585,Glucuronate Metabolic Process
SLCO1A2,GO:0019585,Glucuronate Metabolic Process
UGT2B17,GO:0019585,Glucuronate Metabolic Process
SLC47A2,GO:0019585,Glucuronate Metabolic Process
UGT2B28,GO:0019585,Glucuronate Metabolic Process
SLC22A8,GO:0019585,Glucuronate Metabolic Process
UGT2B15,GO:0019585,Glucuronate Metabolic Process
CYB5A,GO:0019585,Glucuronate Metabolic Process
CPX-8543,GO:0019585,Glucuronate Metabolic Process
CES1,GO:0019585,Glucuronate Metabolic Process
SLC22A1,GO:0019585,Glucuronate Metabolic Process
FMO3,GO:0019585,Glucuronate Metabolic Process
VKORC1,GO:0019585,Glucuronate Metabolic Process
SULT1A1,GO:0019585,Glucuronate Metabolic Process
TBXAS1,GO:0019585,Glucuronate Metabolic Process
SLC35A2,GO:0019585,Glucuronate Metabolic Process
UGT1A3,GO:0019585,Glucuronate Metabolic Process
POR,GO:0019585,Glucuronate Metabolic Process
EPHX1,GO:0019585,Glucuronate Metabolic Process
ABCC4,GO:0019585,Glucuronate Metabolic Process
ABCC2,GO:0019585,Glucuronate Metabolic Process
ABCB11,GO:0019585,Glucuronate Metabolic Process
ABCB4,GO:0019585,Glucuronate Metabolic Process
SLC22A11,GO:0019585,Glucuronate Metabolic Process
CYP2B6,GO:0019585,Glucuronate Metabolic Process
CYP2J2,GO:0019585,Glucuronate Metabolic Process
CYP2C8,GO:0019585,Glucuronate Metabolic Process
SLC51A,GO:0019585,Glucuronate Metabolic Process
CYP8B1,GO:0019585,Glucuronate Metabolic Process
SULT1E1,GO:0019585,Glucuronate Metabolic Process
HSD3B2,GO:0019585,Glucuronate Metabolic Process
CYP26C1,GO:0019585,Glucuronate Metabolic Process
CES2,GO:0019585,Glucuronate Metabolic Process
DRD4,GO:0098916,Anterograde Trans-Synaptic Signaling
GNB3,GO:0098916,Anterograde Trans-Synaptic Signaling
GNB4,GO:0098916,Anterograde Trans-Synaptic Signaling
SLC6A4,GO:0098916,Anterograde Trans-Synaptic Signaling
GNB5,GO:0098916,Anterograde Trans-Synaptic Signaling
HTR6,GO:0098916,Anterograde Trans-Synaptic Signaling
ADORA2B,GO:0098916,Anterograde Trans-Synaptic Signaling
GNB2,GO:0098916,Anterograde Trans-Synaptic Signaling
HTR1A,GO:0098916,Anterograde Trans-Synaptic Signaling
GNAL,GO:0098916,Anterograde Trans-Synaptic Signaling
HTR7,GO:0098916,Anterograde Trans-Synaptic Signaling
CPX-2175,GO:0098916,Anterograde Trans-Synaptic Signaling
CPX-271,GO:0098916,Anterograde Trans-Synaptic Signaling
CPX-272,GO:0098916,Anterograde Trans-Synaptic Signaling
CPX-273,GO:0098916,Anterograde Trans-Synaptic Signaling
CPX-276,GO:0098916,Anterograde Trans-Synaptic Signaling
