number,value,datetime_start,datetime_complete,duration,params_activation_function,params_dropout_rate,params_epochs,params_hidden_channels,params_learning_rate,params_num_heads,params_out_channels,params_predictor_hidden_channels,user_attrs_best_val_auc_epoch_metrics,state
0,0.9429676403307599,2025-07-25 17:04:32.391805,2025-07-25 17:20:19.286514,0 days 00:15:46.894709,tanh,0.10616955533913808,100,128,0.0026070247583707684,4,32,64,"{'epoch_at_best_val_auc': 100, 'train_loss': 0.3022392988204956, 'val_loss': 0.3078806400299072, 'test_loss': 0.307373970746994, 'train_auc': 0.9446746445649592, 'val_auc': 0.9429676403307599, 'test_auc': 0.943296713539225, 'train_acc': 0.8708370379409935, 'val_acc': 0.8630753138075313, 'test_acc': 0.8609251510925151, 'train_precision': 0.8945380242417873, 'val_precision': 0.9154453812804213, 'test_precision': 0.9139650207955636, 'train_recall': 0.8408006601465572, 'val_recall': 0.800046490004649, 'test_recall': 0.7968619246861924, 'train_f1': 0.8668373131712841, 'val_f1': 0.8538645695076721, 'test_f1': 0.8514057222332605}",COMPLETE
1,0.915718339463919,2025-07-25 17:20:19.338854,2025-07-25 17:56:24.117957,0 days 00:36:04.779103,relu,0.3037724259507192,200,64,0.00025081156860452336,8,32,64,"{'epoch_at_best_val_auc': 199, 'train_loss': 0.3796362578868866, 'val_loss': 0.37458521127700806, 'test_loss': 0.3766234517097473, 'train_auc': 0.9105327410937073, 'val_auc': 0.915718339463919, 'test_auc': 0.9145936736310898, 'train_acc': 0.8246020815536689, 'val_acc': 0.8217573221757322, 'test_acc': 0.8201766620176661, 'train_precision': 0.8868290385800652, 'val_precision': 0.9075011775788978, 'test_precision': 0.9070571546781725, 'train_recall': 0.744169964493878, 'val_recall': 0.7165504416550441, 'test_recall': 0.7134588563458857, 'train_f1': 0.8092604997409032, 'val_f1': 0.8008001246947576, 'test_f1': 0.7986936948658565}",COMPLETE
2,0.9565884490169341,2025-07-25 17:56:24.164814,2025-07-25 18:16:19.926574,0 days 00:19:55.761760,relu,0.2600340105889054,200,64,0.006586289317583112,4,64,64,"{'epoch_at_best_val_auc': 197, 'train_loss': 0.25189366936683655, 'val_loss': 0.26980942487716675, 'test_loss': 0.26997441053390503, 'train_auc': 0.9614678443518823, 'val_auc': 0.9565884490169341, 'test_auc': 0.9564371425310922, 'train_acc': 0.8947905952360198, 'val_acc': 0.8897257089725709, 'test_acc': 0.8889702463970246, 'train_precision': 0.9094314151492049, 'val_precision': 0.9001622989164161, 'test_precision': 0.9013310948554982, 'train_recall': 0.8769111417164973, 'val_recall': 0.8766852626685263, 'test_recall': 0.8735704323570432, 'train_f1': 0.8928752634887763, 'val_f1': 0.8882686827292211, 'test_f1': 0.887233665820693}",COMPLETE
3,0.9472191034366942,2025-07-25 18:16:19.928728,2025-07-25 20:55:23.893231,0 days 02:39:03.964503,relu,0.14046725484369038,200,128,0.0005989003672254305,8,64,64,"{'epoch_at_best_val_auc': 200, 'train_loss': 0.29150882363319397, 'val_loss': 0.2943621873855591, 'test_loss': 0.2947025001049042, 'train_auc': 0.948403695941908, 'val_auc': 0.9472191034366942, 'test_auc': 0.9471156118449875, 'train_acc': 0.8694946624593946, 'val_acc': 0.871606229660623, 'test_acc': 0.8711064621106462, 'train_precision': 0.9119118957000567, 'val_precision': 0.9056766564315984, 'test_precision': 0.9063374904555866, 'train_recall': 0.8180064271310937, 'val_recall': 0.8296141329614133, 'test_recall': 0.8277545327754533, 'train_f1': 0.8624104176654296, 'val_f1': 0.8659783808703458, 'test_f1': 0.8652654598469202}",COMPLETE
4,0.8957801853807847,2025-07-25 20:55:23.932300,2025-07-25 22:07:33.212203,0 days 01:12:09.279903,relu,0.31164906341377896,100,128,0.00014063366777718192,8,128,128,"{'epoch_at_best_val_auc': 99, 'train_loss': 0.4114038050174713, 'val_loss': 0.40745314955711365, 'test_loss': 0.4096745550632477, 'train_auc': 0.8931156155023899, 'val_auc': 0.8957801853807847, 'test_auc': 0.8944446397737876, 'train_acc': 0.8078267463956347, 'val_acc': 0.8090771734077173, 'test_acc': 0.8067061831706183, 'train_precision': 0.8876440261835852, 'val_precision': 0.8810212912284724, 'test_precision': 0.8794466971500877, 'train_recall': 0.7048749731234346, 'val_recall': 0.7146675964667596, 'test_recall': 0.7108554160855416, 'train_f1': 0.785771547305362, 'val_f1': 0.7891730944466547, 'test_f1': 0.7862146979805381}",COMPLETE
5,0.9592773152011509,2025-07-25 22:07:33.250802,2025-07-25 22:25:25.804728,0 days 00:17:52.553926,relu,0.012709563372047594,150,128,0.003482846706526885,4,32,64,"{'epoch_at_best_val_auc': 150, 'train_loss': 0.24488623440265656, 'val_loss': 0.25912317633628845, 'test_loss': 0.25884032249450684, 'train_auc': 0.9633988944120727, 'val_auc': 0.9592773152011509, 'test_auc': 0.9594239924085777, 'train_acc': 0.8956303063056781, 'val_acc': 0.8925499767549977, 'test_acc': 0.8910971641097164, 'train_precision': 0.9173192267966985, 'val_precision': 0.9152221484595904, 'test_precision': 0.9147971007346778, 'train_recall': 0.8696442995531226, 'val_recall': 0.8652487215248722, 'test_recall': 0.8625290562529057, 'train_f1': 0.8928457964486274, 'val_f1': 0.8895341195588534, 'test_f1': 0.8878945227441315}",COMPLETE
6,0.7446113767374045,2025-07-25 22:25:25.808746,2025-07-25 23:07:43.250950,0 days 00:42:17.442204,relu,0.43573029509385885,200,256,0.00021010799310103572,8,128,32,"{'epoch_at_best_val_auc': 2, 'train_loss': 0.6890823841094971, 'val_loss': 0.6860729455947876, 'test_loss': 0.6860798597335815, 'train_auc': 0.7501731626484635, 'val_auc': 0.7551454782148617, 'test_auc': 0.7532968248472325, 'train_acc': 0.5, 'val_acc': 0.5, 'test_acc': 0.5, 'train_precision': 0.0, 'val_precision': 0.0, 'test_precision': 0.0, 'train_recall': 0.0, 'val_recall': 0.0, 'test_recall': 0.0, 'train_f1': 0.0, 'val_f1': 0.0, 'test_f1': 0.0}",PRUNED
7,0.7331457050454514,2025-07-25 23:07:43.281686,2025-07-25 23:49:48.986247,0 days 00:42:05.704561,tanh,0.0599326836668414,100,256,0.00010325337616482048,8,32,32,"{'epoch_at_best_val_auc': 3, 'train_loss': 0.6879727244377136, 'val_loss': 0.685206949710846, 'test_loss': 0.6852195858955383, 'train_auc': 0.739645096970532, 'val_auc': 0.7412386414501078, 'test_auc': 0.7394826871201075, 'train_acc': 0.5, 'val_acc': 0.5, 'test_acc': 0.5, 'train_precision': 0.0, 'val_precision': 0.0, 'test_precision': 0.0, 'train_recall': 0.0, 'val_recall': 0.0, 'test_recall': 0.0, 'train_f1': 0.0, 'val_f1': 0.0, 'test_f1': 0.0}",PRUNED
8,0.7556881123156151,2025-07-25 23:49:49.015931,2025-07-25 23:50:40.095623,0 days 00:00:51.079692,relu,0.13932323211830572,50,128,0.00011851515660043118,2,32,32,"{'epoch_at_best_val_auc': 6, 'train_loss': 0.6906338930130005, 'val_loss': 0.6897395253181458, 'test_loss': 0.6897535920143127, 'train_auc': 0.7528167868973316, 'val_auc': 0.7586981588358781, 'test_auc': 0.7570109987980896, 'train_acc': 0.5, 'val_acc': 0.5, 'test_acc': 0.5, 'train_precision': 0.0, 'val_precision': 0.0, 'test_precision': 0.0, 'train_recall': 0.0, 'val_recall': 0.0, 'test_recall': 0.0, 'train_f1': 0.0, 'val_f1': 0.0, 'test_f1': 0.0}",PRUNED
9,0.9492206850910596,2025-07-25 23:50:40.095623,2025-07-26 00:04:23.715175,0 days 00:13:43.619552,relu,0.16039003248586792,150,128,0.0018495216589727262,2,64,128,"{'epoch_at_best_val_auc': 150, 'train_loss': 0.28933125734329224, 'val_loss': 0.2930826246738434, 'test_loss': 0.2939301133155823, 'train_auc': 0.9497402352763963, 'val_auc': 0.9492206850910596, 'test_auc': 0.9488875342812453, 'train_acc': 0.8663551890657415, 'val_acc': 0.8799395629939563, 'test_acc': 0.8775453277545328, 'train_precision': 0.9157034057564868, 'val_precision': 0.8871204585287291, 'test_precision': 0.8856674739991451, 'train_recall': 0.8070001104118362, 'val_recall': 0.8706648070664808, 'test_recall': 0.8670153417015342, 'train_f1': 0.8579221469212759, 'val_f1': 0.8788156073297201, 'test_f1': 0.8762421594192684}",COMPLETE
