proteina,GO_term,Term_Name_Clean
CPX-915,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-930,GO:0006357,Regulation Of Transcription By RNA Polymerase II
RARB,GO:0006357,Regulation Of Transcription By RNA Polymerase II
MAPK14,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-497,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-5850,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-7062,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CTBP1,GO:0006357,Regulation Of Transcription By RNA Polymerase II
H3-3B,GO:0006357,Regulation Of Transcription By RNA Polymerase II
MAPK11,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-2205,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-2307,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-2317,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-2569,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-6263,GO:0006357,Regulation Of Transcription By RNA Polymerase II
KDM6B,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-944,GO:0006357,Regulation Of Transcription By RNA Polymerase II
NCOR1,GO:0006357,Regulation Of Transcription By RNA Polymerase II
KMT5B,GO:0006357,Regulation Of Transcription By RNA Polymerase II
DNMT1,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-2874,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-3321,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-3322,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-3323,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-880,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-922,GO:0006357,Regulation Of Transcription By RNA Polymerase II
KDM5C,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-7091,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-7104,GO:0006357,Regulation Of Transcription By RNA Polymerase II
EHMT2,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-469,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CSNK2A1,GO:0006357,Regulation Of Transcription By RNA Polymerase II
SOX2,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-8623,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-8624,GO:0006357,Regulation Of Transcription By RNA Polymerase II
REST,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-2291,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-2295,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-2296,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-2297,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-7589,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-7590,GO:0006357,Regulation Of Transcription By RNA Polymerase II
CPX-7591,GO:0006357,Regulation Of Transcription By RNA Polymerase II
GATA4,GO:0006357,Regulation Of Transcription By RNA Polymerase II
HNRNPK,GO:0006357,Regulation Of Transcription By RNA Polymerase II
DDX3X,GO:0006357,Regulation Of Transcription By RNA Polymerase II
RORA,GO:0006357,Regulation Of Transcription By RNA Polymerase II
JAZF1,GO:0006357,Regulation Of Transcription By RNA Polymerase II
RGS9,GO:0007601,Visual Perception
RGS9BP,GO:0007601,Visual Perception
KCNV2,GO:0007601,Visual Perception
CPX-2821,GO:0007601,Visual Perception
GNAT2,GO:0007601,Visual Perception
GRK1,GO:0007601,Visual Perception
KCNJ13,GO:0007601,Visual Perception
NYX,GO:0007601,Visual Perception
GNAT1,GO:0007601,Visual Perception
CNGB1,GO:0007601,Visual Perception
SLC24A1,GO:0007601,Visual Perception
CNGA3,GO:0007601,Visual Perception
CNGB3,GO:0007601,Visual Perception
CABP4,GO:0007601,Visual Perception
RS1,GO:0007601,Visual Perception
CNGA1,GO:0007601,Visual Perception
RAX2,GO:0007601,Visual Perception
TRPM1,GO:0007601,Visual Perception
PITPNM3,GO:0007601,Visual Perception
GUCA1A,GO:0007601,Visual Perception
MYO7A,GO:0007601,Visual Perception
MYO15A,GO:0007601,Visual Perception
STRC,GO:0007601,Visual Perception
EYA4,GO:0007601,Visual Perception
CNNM4,GO:0007601,Visual Perception
CDHR1,GO:0007601,Visual Perception
P2RY1,GO:0030198,Extracellular Matrix Organization
PRKAG1,GO:0030198,Extracellular Matrix Organization
STRADA,GO:0030198,Extracellular Matrix Organization
KISS1R,GO:0030198,Extracellular Matrix Organization
PROK2,GO:0030198,Extracellular Matrix Organization
MC1R,GO:0030198,Extracellular Matrix Organization
SERPINH1,GO:0030198,Extracellular Matrix Organization
UMOD,GO:0030198,Extracellular Matrix Organization
C1QBP,GO:0030198,Extracellular Matrix Organization
TSHR,GO:0030198,Extracellular Matrix Organization
GNRH1,GO:0030198,Extracellular Matrix Organization
CPX-1776,GO:0030198,Extracellular Matrix Organization
CPX-1782,GO:0030198,Extracellular Matrix Organization
CPX-1750,GO:0030198,Extracellular Matrix Organization
LRP2,GO:0030198,Extracellular Matrix Organization
LPIN2,GO:0030198,Extracellular Matrix Organization
GYS1,GO:0030198,Extracellular Matrix Organization
PKN2,GO:0030198,Extracellular Matrix Organization
PIK3C2A,GO:0030198,Extracellular Matrix Organization
ANGPTL3,GO:0030198,Extracellular Matrix Organization
SHBG,GO:0030198,Extracellular Matrix Organization
P2RY2,GO:0030198,Extracellular Matrix Organization
S1PR2,GO:0030198,Extracellular Matrix Organization
KLK4,GO:0030198,Extracellular Matrix Organization
PTGFR,GO:0030198,Extracellular Matrix Organization
ALOX5AP,GO:0030198,Extracellular Matrix Organization
AIP,GO:0030198,Extracellular Matrix Organization
FFAR1,GO:0030198,Extracellular Matrix Organization
CPX-5051,GO:0030198,Extracellular Matrix Organization
CPX-5052,GO:0030198,Extracellular Matrix Organization
CPX-1775,GO:0030198,Extracellular Matrix Organization
CPX-3166,GO:0030198,Extracellular Matrix Organization
SPHK2,GO:0030198,Extracellular Matrix Organization
PEBP1,GO:0030198,Extracellular Matrix Organization
CPX-4741,GO:0030198,Extracellular Matrix Organization
SH3GL1,GO:0030198,Extracellular Matrix Organization
GPNMB,GO:0030198,Extracellular Matrix Organization
FOLR1,GO:0030198,Extracellular Matrix Organization
UNC119,GO:0030198,Extracellular Matrix Organization
FRK,GO:0030198,Extracellular Matrix Organization
FOLR2,GO:0030198,Extracellular Matrix Organization
EPHA5,GO:0030198,Extracellular Matrix Organization
SLK,GO:0030198,Extracellular Matrix Organization
CA8,GO:0030198,Extracellular Matrix Organization
TF,GO:0030198,Extracellular Matrix Organization
POGLUT1,GO:0030198,Extracellular Matrix Organization
CPX-4943,GO:0030198,Extracellular Matrix Organization
CPX-4944,GO:0030198,Extracellular Matrix Organization
ADAMTS13,GO:0030198,Extracellular Matrix Organization
SPECC1,GO:0030198,Extracellular Matrix Organization
DCPS,GO:0030198,Extracellular Matrix Organization
TPO,GO:0030198,Extracellular Matrix Organization
UNC5C,GO:0030198,Extracellular Matrix Organization
IGFALS,GO:0030198,Extracellular Matrix Organization
CPX-1779,GO:0030198,Extracellular Matrix Organization
CDH11,GO:0030198,Extracellular Matrix Organization
KIAA0319,GO:0030198,Extracellular Matrix Organization
JAM3,GO:0030198,Extracellular Matrix Organization
CA12,GO:0030198,Extracellular Matrix Organization
FERMT1,GO:0030198,Extracellular Matrix Organization
CPX-8463,GO:0030198,Extracellular Matrix Organization
GPR68,GO:0030198,Extracellular Matrix Organization
