module_id,representative_go,representative_go_p_value,deg_distribution,target_group_distribution,num_proteins,proteins
0,GO:0006357 (Regulation Of Transcription By RNA Polymerase II),2.364929183107193e-19,"{'none': '89.58%', 'Up': '2.08%', 'Down': '8.33%'}","{'T4': '81.25%', 'T2': '33.33%', 'T3': '16.67%', 'T1': '2.08%'}",48,"CPX-915, CPX-930, RARB, MAPK14, CPX-497, CPX-5850, CPX-7062, CTBP1, H3-3B, MAPK11, CPX-2205, CPX-2307, CPX-2317, CPX-2569, CPX-6263, KDM6B, CPX-944, NCOR1, KMT5B, DNMT1, CPX-2874, CPX-3321, CPX-3322, CPX-3323, CPX-880, CPX-922, KDM5C, CPX-7091, CPX-7104, EHMT2, CPX-469, CSNK2A1, SOX2, CPX-8623, CPX-8624, REST, CPX-2291, CPX-2295, CPX-2296, CPX-2297, CPX-7589, CPX-7590, CPX-7591, GATA4, HNRNPK, DDX3X, RORA, JAZF1"
1,GO:0007601 (Visual Perception),1.168577405878541e-13,{'none': '100.00%'},"{'T4': '96.15%', 'T2': '3.85%'}",26,"RGS9, RGS9BP, KCNV2, CPX-2821, GNAT2, GRK1, KCNJ13, NYX, GNAT1, CNGB1, SLC24A1, CNGA3, CNGB3, CABP4, RS1, CNGA1, RAX2, TRPM1, PITPNM3, GUCA1A, MYO7A, MYO15A, STRC, EYA4, CNNM4, CDHR1"
2,GO:0030198 (Extracellular Matrix Organization),8.758300743268018e-05,{'none': '100.00%'},"{'T2': '26.15%', 'T4': '73.85%', 'T3': '1.54%'}",65,"P2RY1, PRKAG1, STRADA, KISS1R, PROK2, MC1R, SERPINH1, UMOD, C1QBP, TSHR, GNRH1, CPX-1776, CPX-1782, CPX-1750, LRP2, LPIN2, GYS1, PKN2, PIK3C2A, ANGPTL3, SHBG, P2RY2, S1PR2, KLK4, PTGFR, ALOX5AP, AIP, FFAR1, CPX-5051, CPX-5052, CPX-1775, CPX-3166, SPHK2, PEBP1, CPX-4741, SH3GL1, GPNMB, FOLR1, UNC119, FRK, FOLR2, EPHA5, SLK, CA8, TF, POGLUT1, CPX-4943, CPX-4944, ADAMTS13, SPECC1, DCPS, TPO, UNC5C, IGFALS, CPX-1779, CDH11, KIAA0319, JAM3, CA12, FERMT1, CPX-8463, GPR68, PDK3, NDP, CPX-6097"
3,GO:0005891 (Voltage-Gated Calcium Channel Complex),1.5637716368973783e-94,"{'none': '84.11%', 'Down': '15.23%', 'Up': '0.66%'}","{'T4': '92.72%', 'T2': '13.91%', 'T3': '1.32%'}",151,"CPX-8673, CPX-8674, CPX-8675, CPX-8676, CPX-3278, PPP2R3C, CPX-3195, CPX-8861, CPX-3239, CNTNAP2, CACNA1B, SLITRK1, DPP6, CPX-8503, CPX-8525, CPX-3072, CPX-3073, KCNK18, CACNA1D, CPX-3192, CPX-8699, CPX-8725, CPX-8726, CPX-8740, CPX-8741, CPX-8742, CPX-8743, CPX-8762, CPX-8763, CPX-8764, CPX-8768, CPX-8772, CPX-8773, KCNA1, KCNQ2, PKP2, CPX-3071, KCNA5, TRPM4, CPX-197, CPX-199, CASQ2, CPX-131, KCNN2, KCNC1, CPX-8639, CPX-8640, CPX-8643, CPX-8644, CPX-8661, CPX-8662, CPX-8665, CPX-8667, CPX-8669, CPX-8671, CPX-8677, CPX-8680, CPX-8681, CPX-8684, CPX-8685, CPX-8690, CPX-8691, CPX-8694, CPX-8663, CPX-8664, KCNMA1, CPX-8641, CPX-8642, KCNK3, KCNE3, CPX-3256, CPX-8645, CPX-8646, CPX-8666, CPX-8668, CPX-8670, CPX-8672, CPX-8678, CPX-8679, CPX-8682, CPX-8683, CPX-8686, CPX-8687, CPX-8692, CPX-8693, KCNA4, TRDN, CACNA1H, CAV3, KCNQ5, AKAP9, CACNA1G, KCNB1, KCNT1, KCNE5, KCNQ3, KCNK2, KCNC3, KCNN3, GJA5, KCNA2, STX1B, SLC9A6, STXBP1, CAMK2B, SPTBN4, BRS3, KCNC2, PRDM12, NRCAM, SATB2, CACNA1A, ATP1A2, CNTNAP1, P2RX3, FGF14, MYL3, NOVA2, AVIL, KCNK4, CATSPER1, CACNA1E, JPH2, PCDH19, CATSPER2, IRX5, FGF12, ZIC1, CPX-2499, CPX-6226, CLCN2, SLC25A22, NFASC, LGI1, ARX, ALG13, PRRT2, TBC1D24, KCNH1, IQSEC2, RTN2, EFHC1, TSPYL1, EVC2, ARHGEF9, STK32B, KCNJ18, GABRR1, CRYBA2, KCNJ8, CPX-5663"
4,GO:0060070 (Canonical Wnt Signaling Pathway),1.0101363637927817e-06,"{'none': '98.21%', 'Up': '1.79%'}","{'T4': '75.00%', 'T2': '25.00%'}",56,"TRIM32, WNT3, CPX-6461, MAP2K6, WDR37, MSX1, ERN2, TAP1, STK4, WNT7A, GSC, SMAD6, CPX-144, BMPR1A, GDF5, ZIC2, SKI, TCF12, MSX2, AIRE, NRIP1, POU1F1, RUNX1T1, CDH15, MAP2K7, ERF, RPS6KA2, MAP3K2, PPM1D, MAPK8IP3, ZNF423, ARNT2, WNT10B, WNT4, FRZB, WNT2B, PARP14, MAPK15, RUBCN, SP110, LYL1, GREM1, SNAP29, MAP4K4, FZD6, STK3, MACF1, MAP4K2, CPX-2827, ZNF703, SFRP4, BTG1, MKNK1, PPIP5K2, NUAK2, HOXA13"
5,GO:0005777 (Peroxisome),1.0689520228156301e-19,"{'none': '96.30%', 'Up': '1.85%', 'Down': '1.85%'}","{'T4': '96.30%', 'T2': '3.70%'}",54,"PHYH, SCP2, SLC28A1, HSD3B7, ACOX2, CRAT, MSMO1, SC5D, GGPS1, ACOX3, NSDHL, LSS, CPX-2649, PEX13, PEX14, HSD17B4, BCO1, SDR9C7, ABHD11, SLC13A3, AGA, KYNU, SGPL1, MMACHC, PEX11B, ABCD3, TRMT10A, ABCD1, FAR1, FA2H, ACBD5, GNPAT, ACAD10, PEX1, AGPS, PEX7, PEX26, ACP4, MPDU1, RHCE, SLC25A32, SLC52A1, CHST6, HPDL, TGDS, SLC19A3, DSE, LIAS, ATP2C1, TXNDC15, SLC52A2, ALG11, SLC33A1, GALNT11"
6,GO:0006836 (Neurotransmitter Transport),0.044115016193991274,"{'none': '93.55%', 'Up': '6.45%'}","{'T2': '25.81%', 'T4': '74.19%'}",31,"IDE, SRC, LINGO1, POMC, SLC1A2, CPX-943, SYN2, ACE, PIK3CG, ABCA7, NOS3, CPX-6273, CPX-3111, GRIA4, SAA1, SERPINI1, XPNPEP2, ECE1, LSR, WDFY3, PLEC, SLC1A3, MYH9, MIF, PIK3R2, CD46, RHAG, FOXP2, CPX-4469, STK33, NEXN"
7,GO:1901989 (Positive Regulation Of Cell Cycle Phase Transition),1.003436713137176e-56,"{'none': '98.27%', 'Down': '1.16%', 'Up': '0.58%'}","{'T2': '65.32%', 'T4': '80.92%', 'T3': '6.36%'}",173,"PPP2R5A, CDK2, DVL3, PPP2R5D, CPX-2004, CPX-2006, CPX-5835, CPX-478, PARP1, SUMO1, CHEK1, CPX-715, AURKA, CSNK1A1, CPX-107, CPX-109, CPX-442, CPX-99, CPX-2204, CPX-2311, CPX-2324, CPX-2325, CPX-4082, CPX-4141, CPX-4142, CPX-4143, CPX-4144, CPX-952, CPX-2838, CPX-7784, CPX-903, CPX-2564, CPX-5647, CPX-5668, CPX-2556, CPX-5670, CPX-5671, CPX-989, CPX-2198, CPX-2209, CPX-2213, CPX-2312, CPX-2314, CPX-2316, CPX-2326, CPX-2327, CPX-2328, CPX-2329, EGLN1, CPX-2250, CPX-2404, CPX-2406, CPX-2407, CPX-2412, CPX-2414, CPX-2416, CPX-2758, CPX-2762, CPX-2765, CPX-2770, CPX-2777, CPX-2778, CPX-2783, CPX-2786, CPX-2804, CPX-2809, CPX-2816, CPX-2819, CPX-2859, CPX-648, CPX-7821, CPX-7846, CPX-8007, CPX-8025, CPX-8041, CPX-8061, CPX-8063, CPX-8064, CPX-8083, CPX-8085, CPX-8088, CPX-8089, CPX-8090, CPX-8091, CPX-8102, CPX-8103, CPX-8106, CPX-8107, CPX-8110, CPX-8122, CPX-8125, CPX-8126, CPX-8130, CPX-8131, CPX-8147, CPX-8150, CPX-8151, CPX-8201, CPX-8202, CPX-8221, CPX-8222, CPX-8261, CPX-8262, CPX-8263, CPX-2010, CPX-2014, CPX-846, CPX-2385, PSMA8, CPX-6016, CPX-2483, CPX-2500, CPX-6566, CPX-12, CPX-3252, CPX-6062, PSMB10, MAP3K5, CPX-6042, CPX-6048, RUNX2, PSMB9, CDKN2A, CPX-11, CPX-3208, BRD4, CPX-5831, CPX-3219, USP7, NPM1, CPX-6142, CPX-2015, BUB1B, CPX-2016, CPX-3220, CHEK2, DVL1, CPX-56, CPX-2012, CPX-2013, CDKN1B, LOX, PML, CPX-2539, CPX-5839, CPX-148, ACVR1, ZBTB16, SAMHD1, SOCS3, PRLR, CPX-150, CBFB, GH1, CPX-2011, SOCS1, IKZF1, IKZF3, CPX-2705, CPX-6033, CPX-74, CPX-2161, GLMN, CDKN1C, MAP3K6, UVSSA, KCTD13, POMP, DZIP1, CPX-2211, ZSWIM6, KCTD17, KBTBD13"
8,GO:1903551 (Regulation Of Extracellular Exosome Assembly),2.059294150432045e-18,"{'none': '98.00%', 'Up': '2.00%'}","{'T2': '35.00%', 'T3': '1.00%', 'T4': '73.00%'}",100,"NR4A2, ADRB3, FUS, TUBB2B, TUBB4A, TUBA8, TUBB2A, TIA1, WWOX, FTL, ACTA2, TYRP1, CHD7, ELN, PLD2, ATP7A, SRGAP2, TJP2, CLDN1, ANPEP, ACP5, LRP6, CPX-1713, CPX-2522, CPX-2535, CPX-2849, CPX-707, NAMPT, PNPLA2, PAX8, ACVR2B, ILK, MYOCD, CSK, MYF5, PLIN1, UCP3, NR3C2, ARHGDIA, HLA-DRB1, CPX-6050, CPX-2158, COX4I2, RBP4, ABI1, CPX-2505, CPX-7146, CPX-7147, CPX-7148, CPX-7162, CPX-7164, CPX-7166, CPX-7167, CPX-7181, CPX-7201, CPX-7202, CPX-7203, GTF2I, SERPINA5, CYFIP2, DCN, CPX-1822, VIM, CPX-1820, CPX-1803, ROCK2, ARHGEF2, LIMK1, NPHS2, NPHS1, DNM2, WIPF1, PIP5K1C, CPX-1797, DIAPH1, EPHA8, PAK4, TNFRSF13C, AFDN, PLS3, RBMX, PUM1, DMBT1, TUBG1, CSNK1E, SEPTIN9, SOX10, TWNK, KLF1, ULK1, CPX-1804, STEAP3, SALL1, CPX-1815, PIP5K1A, WASF1, DSTYK, HNF1B, DNASE2, MRTFA"
9,GO:0060271 (Cilium Assembly),3.991883860451195e-06,{'none': '100.00%'},"{'T4': '87.18%', 'T2': '12.82%'}",39,"CPX-6270, CEP41, CEP135, CEP164, CEP57, CDK5RAP2, OFD1, BICD2, CPX-1299, NIN, CEP250, CPX-5848, CDK10, MORC2, NSUN3, AFF3, YIPF5, NEK5, CPX-3138, CPX-3201, STK17B, KIF1C, CEP120, MMP21, TESK1, POC1B, TSGA10, CEP83, PATL2, TESK2, PMP2, TMC8, CPX-326, MDFIC, HOXC13, ZP2, DAZ1, PANK4, CPX-2861"
