proteina,GO_term,Term_Name_Clean
NR3C1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6041,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6043,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6044,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6046,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6049,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2396,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2397,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2398,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7978,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-915,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-930,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2491,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-480,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-486,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-2236,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-8601,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-8604,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-8605,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-8606,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-8607,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
GSK3B,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-5156,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
AKT1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
PTPN11,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-316,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-702,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-711,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-490,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6420,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6474,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6562,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6786,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7005,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7063,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-7100,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MAPK13,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
XIAP,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
MAPK14,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ERBB2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
ABL1,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
BRAF,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-3153,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
GATA2,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
CPX-6123,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II
