proteina	modulo
DRD4	3
GNB3	1
GNB4	3
AKR1D1	8
CYP2C9	1
SLC6A4	3
GNB5	1
IDE	1
QDPR	3
HTR6	1
ADORA2B	5
GNB2	1
LEP	6
HTR1A	3
GNAL	3
HTR7	3
MAOA	6
CPX-2175	3
CPX-271	3
CPX-272	3
CPX-273	3
CPX-276	3
HTR4	1
DRD2	3
CPX-3156	3
GNAS	6
CYP2C19	8
SRC	6
HTR1D	3
MAOB	1
CPX-8432	6
SLC6A2	6
DAO	8
SNAP25	3
RGS9	3
GNAO1	3
SLC6A3	3
CPX-2159	3
CPX-2952	3
CPX-2953	3
CPX-8574	3
CPX-8576	3
CPX-8577	3
CPX-8578	3
CPX-8580	3
CPX-8581	3
CPX-5225	1
CPX-1062	6
CPX-1069	6
CPX-1070	6
CPX-1120	6
CPX-1134	6
CPX-1180	6
AVPR1A	1
MC4R	1
ADRB2	6
LRTOMT	1
DRD5	3
ANKK1	3
GNAI2	1
MPDZ	1
GHRHR	5
CPX-2202	3
CPX-294	3
NPY2R	1
CPX-1910	1
CYP1A2	1
LINGO1	6
PRODH	8
COMT	1
NOS1AP	3
AGT	6
CPX-168	3
CPX-187	3
CPX-2170	3
CPX-218	3
CPX-2180	3
CPX-2192	3
CPX-2193	3
CPX-240	3
CPX-117	6
CPX-122	6
GNAI3	1
PITX3	5
CPX-2203	3
AGTR2	1
GLP1R	1
PIP4K2A	6
MTHFR	1
TH	6
DRD3	3
CPX-7724	1
DBH	1
DRD1	3
GRM2	3
POMC	6
CPX-4101	3
CPX-909	3
GPSM2	8
CXCR4	6
RGS4	3
DDC	1
DISC1	6
CPX-285	3
ADORA2A	1
NR3C1	0
CUX2	1
ALDH2	1
CPX-210	3
CPX-213	3
CPX-2190	3
CPX-2200	3
CPX-6041	0
CPX-6043	0
CPX-6044	0
CPX-6046	0
CPX-6049	0
HTR2C	3
RHO	1
ADCY1	1
ADRA1B	1
CPX-2164	3
CPX-2166	3
CPX-2167	3
CPX-2168	3
CPX-2174	3
CPX-2951	3
CPX-2954	3
CPX-8571	3
CPX-8573	3
CPX-8575	3
CPX-8579	3
CPX-8701	3
CPX-8729	3
CPX-8731	3
CPX-8732	3
TSPEAR	1
DNAAF4	7
TPH2	6
CPX-8673	3
CPX-8674	3
CPX-8675	3
CPX-8676	3
ADRB1	1
CPX-286	3
CPX-289	3
ADRA1D	1
CHRM2	3
TTC12	3
CPX-3278	3
KCNJ6	3
CPX-6841	5
CPX-2396	0
CPX-2397	0
CPX-2398	0
CPX-7978	0
CPX-915	0
CPX-930	0
CPX-577	6
GHSR	1
SMO	6
THAP1	3
CPX-2955	3
SYT1	3
PPP2R5A	9
PPP2R3C	3
PDGFRB	4
CPX-2469	2
WNT5A	6
CPX-3195	3
CPX-8861	3
CDK2	9
EGFR	6
SIGMAR1	6
NTRK2	6
SLC1A2	3
GRM1	3
GNAQ	6
CPX-1001	6
CPX-1002	6
CPX-1003	6
CPX-1009	6
CPX-102	6
CPX-1048	6
CPX-1050	6
CPX-1112	6
CPX-1114	6
CPX-1116	6
CPX-1118	6
CPX-2341	6
CPX-674	6
CPX-902	6
CPX-998	6
CCR2	4
HCRT	1
SSTR5	1
CPX-8767	3
SLC45A2	4
CYP2A6	8
ACHE	1
GRM5	3
CPX-2491	0
CPX-480	0
CPX-486	0
CPX-6416	6
CPX-6477	6
CPX-6564	6
CPX-6783	6
PRKACA	3
ARR3	1
GRK2	1
DVL3	9
CPX-2201	4
CPX-3142	6
BACE1	6
CPX-2236	0
CPX-8601	0
CPX-8604	0
CPX-8605	0
CPX-8606	0
CPX-8607	0
GSK3B	0
RARB	9
CPX-3239	3
RGS9BP	8
CHAT	6
EDN3	1
EPB41L1	3
HRH3	3
NR4A2	4
TOR1A	4
OCA2	1
HTT	6
SREBF1	6
SSTR2	1
GRM7	3
CPX-3032	3
CPX-3065	1
RXRG	7
ZNF148	4
CNTNAP2	3
GRM3	3
PDE10A	8
ADORA1	1
CNR1	6
HTR1B	1
PRKACB	3
CACNA1B	3
DNM1	3
CPX-652	7
CPX-716	7
CPX-871	7
SLITRK1	3
PRKACG	3
DPP6	3
EDN1	6
DPP10	3
PPP2R2B	6
CPX-2476	6
HRH1	1
CPX-943	6
CPX-6244	3
ADRA2C	1
SAG	1
CPX-2494	6
CPX-6405	6
CPX-8	6
RARG	7
CTNNA3	6
CPX-8636	3
SLC4A4	1
OPRM1	1
CPX-8468	3
CPX-8503	3
CPX-8525	3
CPX-8545	3
CPX-8553	3
CPX-8556	3
CPX-8630	3
CPX-8632	3
CPX-8634	3
AGTR1	6
CPX-5156	0
CPX-8702	3
CPX-8721	3
CPX-8723	3
CPX-8724	3
CPX-8727	3
CPX-665	5
PPP2R5D	9
FTO	6
ADCY5	1
NTRK1	6
HTR2A	3
PDYN	1
FKBP5	4
AKT1	0
CPX-1795	6
CPX-1799	6
CPX-8572	6
ADRA2B	1
SSTR3	8
CPX-2004	9
CPX-2006	9
PTPN11	0
CPX-316	0
CYP2D6	8
SLC18A2	1
CDC42	6
CPX-6186	3
CPX-6189	3
TPM3	6
CALM1	6
FAAH	1
HTR2B	3
CPX-3072	3
CPX-3073	3
TRPA1	3
SLC5A7	8
BCHE	1
GAL	1
CPX-702	0
CPX-711	0
HTR5A	3
FEV	8
HTR1E	3
CC2D1A	2
