Node_id,Target_type,Target_group,Target_group_score_normalized,DEG
CPX-289,PROTEIN COMPLEX,"T1, T2, T3, T4",1.0,none
CPX-659,PROTEIN COMPLEX,"T1, T2, T3, T4",1.0,none
CPX-661,PROTEIN COMPLEX,"T1, T2, T3, T4",1.0,none
CPX-702,PROTEIN COMPLEX,"T1, T2, T3, T4",1.0,none
CPX-711,PROTEIN COMPLEX,"T1, T2, T3, T4",1.0,none
CPX-793,PROTEIN COMPLEX,"T1, T2, T3, T4",1.0,none
CPX-6094,PROTEIN COMPLEX,"T1, T2, T3, T4",1.0,none
ACHE,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
CBX1,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
CPX-285,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-286,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-294,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-660,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-1062,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-1069,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-1070,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-1120,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-1134,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-1180,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
CPX-2202,PROTEIN COMPLEX,"T1, T2, T3",0.994375,none
DRD2,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
EHMT2,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
HRH3,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
KDM4E,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
LMNA,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
SLC6A4,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
SLCO1B1,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
SLCO1B3,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
USP1,SINGLE PROTEIN,"T1, T2, T3",0.994375,none
BCHE,SINGLE PROTEIN,"T1, T2",0.938125,none
CPX-255,PROTEIN COMPLEX,"T1, T2",0.938125,none
DYRK1A,SINGLE PROTEIN,"T1, T2",0.938125,none
DYRK2,SINGLE PROTEIN,"T1, T2",0.938125,none
IDH1,SINGLE PROTEIN,"T1, T2",0.938125,none
NPSR1,SINGLE PROTEIN,"T1, T2",0.938125,none
PMP22,SINGLE PROTEIN,"T1, T2",0.938125,none
PTH1R,SINGLE PROTEIN,"T1, T2",0.938125,none
