Node_id,DEG,DC,BC,CC,EC,CEN,ECC,RAD,Target_group_score_normalized,Conectivity_score_topo
AGT,Up,0.4883068288119738,0.3591415602412189,0.8919520729509067,0.5483423861195287,0.24158368895211,0.75,0.9517541783059514,0.1,0.925769581976568
CPX-8674,Down,0.2385406922357343,0.0128374812446529,0.7425847457627119,0.357214394691805,0.5656709340919868,0.75,0.8619383551915156,0.1,0.918033392711239
CPX-8675,Down,0.226379794200187,0.0119477048269684,0.7367314766158698,0.3418245977029839,0.5789473684210527,0.75,0.8576771933147105,0.1,0.941750542711495
APOE,Up,0.5322731524789522,0.3846097092450038,0.9021879021879022,0.5804599214055997,0.2162162162162162,0.75,0.956820226315042,0.1,0.908044398924309
ALDH7A1,Up,0.1796071094480823,0.0808327376312963,0.7672382342210873,0.2562380431762402,0.4973921289710763,0.75,0.8791723876710383,0.1,0.832724328932141
GLUD1,Up,0.1347053320860617,0.0575103553007224,0.7515411417850443,0.0610524917194185,0.5467045993361783,0.75,0.8683300980067232,0.1,0.703354891720996
GNAQ,Down,0.2890551917680075,0.1528321400237274,0.8375149342891279,0.3519179473382072,0.3869132290184922,0.75,0.9227309313006014,0.1,0.903190872072653
CPX-3192,Down,0.1356407857811038,0.0034924764853636,0.7238619740125635,0.2141276502446579,0.629208155523945,0.75,0.8480659059703612,0.1,0.7568745726646
CPX-8699,Down,0.1852198316183348,0.0071573998899019,0.7360223991600315,0.2938240423995616,0.5974395448079659,0.75,0.8571563846408788,0.1,0.76971786622458
CPX-8740,Down,0.1543498596819457,0.0046176088937815,0.7296383034087953,0.2540733392276888,0.620199146514936,0.75,0.8524217603333175,0.1,0.762712604203977
CPX-8741,Down,0.186155285313377,0.0072845341340616,0.7364089993872013,0.294204582776743,0.5962541488857278,0.75,0.8574404620993324,0.1,0.781807321969984
CPX-8762,Down,0.1356407857811038,0.0034924764853636,0.7238619740125635,0.2141276502446579,0.629208155523945,0.75,0.8480659059703612,0.1,0.7568745726646
