,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
DRD4,1.4861114,-1.3569008,-0.71951365,4.602248,4.307162,1.2630538,-2.5187964,0.72905195,-4.871157,3.182638,-6.4506006,4.0758705,-0.64770097,0.8852871,-5.0350175,-1.2130661,-3.5497751,-6.801133,-5.5133934,3.547226,-0.8353162,2.5679705,-4.0943117,-0.23268498,1.2160631,6.0426135,2.6000533,2.6725116,-5.338432,-3.064135,5.7730966,-1.9326453
GNB3,1.4805067,-5.101167,0.48398024,6.314022,4.43366,1.0596186,-1.4391092,-1.5244975,-5.197357,4.9736943,-9.830876,6.787894,1.7292198,-1.1810881,-8.448299,1.4283618,-4.636633,-8.720871,-4.9706254,2.2855413,-1.5866379,3.1984282,-7.565877,-2.0234473,1.4694926,8.730554,3.1995296,2.358023,-7.104073,-2.9225001,2.308714,-0.9123749
GNB4,2.5325975,-3.055283,-0.90634435,4.9712768,5.4176073,0.8222194,-2.0937512,-0.5493872,-3.8594537,3.256209,-6.9366436,5.6396804,-0.14332958,-1.554705,-7.7414584,0.06629366,-4.758103,-5.3647494,-6.458841,2.9226215,1.5611885,2.8908963,-4.8592205,-0.5198401,1.4784569,7.2877593,3.2440672,3.1282024,-6.6726346,-2.2802231,4.6157956,-0.9059147
AKR1D1,-0.40578866,-5.7716737,-1.0453229,6.5985327,10.460434,1.951201,-1.617296,-5.654397,-3.0331955,5.3365808,-7.8053384,5.906788,-1.4127874,-12.952088,-10.768526,1.2703543,-8.084203,-5.2890496,-5.121921,-5.2566214,-3.6765938,4.347574,-4.9679914,-3.9338472,1.8579553,4.6354966,-1.1240184,-3.279487,-6.351575,-1.4764085,-3.9520104,4.037602
CYP2C9,0.054997288,-6.2625484,-0.31010965,6.0104113,7.3657594,1.184944,-1.4409716,-4.113358,-3.820373,5.129268,-8.351454,6.174529,0.14093375,-8.074743,-9.145834,1.8150029,-6.604276,-6.8952775,-4.2792597,-2.3700805,-2.3372226,3.876726,-6.395739,-2.636667,1.8534058,6.2418623,0.7276529,-0.41704148,-6.0164094,-1.9675909,-1.9794296,2.1887326
SLC6A4,2.6979964,-2.8797383,-0.6338772,5.75652,6.166892,1.0604146,-2.0483098,-0.10892677,-4.72707,3.9361959,-8.215157,5.947197,0.0022436865,-0.09814213,-8.103301,-0.72589684,-4.7322736,-7.246029,-6.9159718,3.9517508,0.4014723,2.59675,-5.7365203,-0.63093567,1.9339832,8.271971,3.4824896,3.485428,-7.455962,-2.7979221,5.691965,-1.3814799
GNB5,2.3618827,-3.0601969,-1.1377734,4.804934,5.879472,1.2657945,-2.0337396,-1.2018558,-3.378255,3.123678,-6.332196,5.5438337,0.19101466,-2.7147808,-7.5928664,0.382156,-4.780957,-5.0713034,-6.2093835,1.6956468,1.2807103,2.8551362,-4.7074356,-0.25185868,1.8964723,6.34244,2.3442185,2.234548,-6.5177503,-1.7466108,3.4339209,-0.45307755
IDE,1.0931643,-5.142917,-0.7565542,4.7228336,5.8033924,1.4653156,-1.1531125,-3.591756,-2.5064352,3.4927258,-6.5615926,5.133357,0.7942121,-4.4607224,-7.645039,1.9288268,-5.193259,-5.7443438,-3.8351653,-1.4537184,-0.7859889,3.1444607,-5.79795,-0.102886304,2.648377,5.048318,0.5528752,0.22032468,-5.691067,-0.48845932,-0.88629675,1.1090244
QDPR,0.6122595,-3.938867,-1.7149463,4.893828,6.8690414,1.5586586,-1.8265407,-2.8084795,-2.921742,2.869559,-6.332824,4.980726,-1.0467217,-6.0067005,-8.308029,0.9192937,-5.859991,-4.255915,-4.6144423,-1.2708428,-0.71227306,3.3575618,-4.230889,-1.6967074,1.2002338,4.822008,0.52963,-0.27479857,-5.8056107,-1.7373005,0.619557,1.4382877
HTR6,3.3940735,-5.116682,-0.9553411,6.4934797,8.78315,1.5684644,-1.3791503,-3.0645518,-2.470342,4.0311704,-8.282186,8.027225,2.2258599,-3.8145578,-11.180081,0.9728029,-5.189949,-7.537548,-7.4095984,0.8977914,1.5972075,3.5315623,-7.9083614,0.34875873,4.3768115,8.332951,2.4032857,2.6300576,-9.352896,-0.7288496,2.738279,0.08207708
