Target_name,Complex_participants,Node_id,Target_type,Target_group,Target_group_score_normalized,Conectivity_Score
glutamate nmda receptor; grin1/grin2a,"GRIN2D,GRIN1",CPX-289,0,"T1, T2, T3, T4",1.0,0.0
dna replication factor cdt1 (double parked homolog) (dup),"CDT1,GMNN",CPX-659,0,"T1, T2, T3, T4",1.0,0.0
geminin,"MCIDAS,GMNN",CPX-661,0,"T1, T2, T3, T4",1.0,0.0
nuclear receptor coactivator 2 (ncoa-2) (class e basic helix-loop-helix protein 75) (bhlhe75) (transcriptional intermediary factor 2) (htif2),"NCOA2,PPARG",CPX-702,0,"T1, T2, T3, T4",1.0,0.0
nuclear receptor coactivator 1 (ncoa-1) (ec 2.3.1.48) (class e basic helix-loop-helix protein 74) (bhlhe74) (protein hin-2) (rip160) (renal carcinoma antigen ny-ren-52) (steroid receptor coactivator 1) (src-1),"NCOA1,PPARG",CPX-711,0,"T1, T2, T3, T4",1.0,0.0
aprataxin (ec 3.6.1.71) (ec 3.6.1.72) (forkhead-associated domain histidine triad-like protein) (fha-hit),"LIG3,XRCC1,TDP1,APLF,POLB,APTX,PNKP",CPX-793,0,"T1, T2, T3, T4",1.0,0.0
geminin,"GMNN,HOXD10",CPX-6094,0,"T1, T2, T3, T4",1.0,0.0
acetylcholinesterase,None,ACHE,0,"T1, T2, T3",0.994375,0.0
chromobox protein homolog 1,None,CBX1,0,"T1, T2, T3",0.994375,0.0
glutamate [nmda] receptor subunit epsilon 2,"GRIN2B,GRIN1",CPX-285,0,"T1, T2, T3",0.994375,0.0
glutamate nmda receptor; grin1/grin2a,"GRIN2C,GRIN1",CPX-286,0,"T1, T2, T3",0.994375,0.0
glutamate [nmda] receptor subunit epsilon 2,"GRIN2A,GRIN1,GRIN2B",CPX-294,0,"T1, T2, T3",0.994375,0.0
geminin,"GMNN,HOXC9",CPX-660,0,"T1, T2, T3",0.994375,0.0
amyloid beta a4 protein (app),"P05067-PRO_0000000092,P05067-PRO_0000000093",CPX-1062,0,"T1, T2, T3",0.994375,0.0
amyloid beta a4 protein (app),P05067-PRO_0000000093,CPX-1069,0,"T1, T2, T3",0.994375,0.0
amyloid beta a4 protein (app),P05067-PRO_0000000092,CPX-1070,0,"T1, T2, T3",0.994375,0.0
amyloid beta a4 protein (app),"P05067-PRO_0000000092,P05067-PRO_0000000093",CPX-1120,0,"T1, T2, T3",0.994375,0.0
amyloid beta a4 protein (app),P05067-PRO_0000000092,CPX-1134,0,"T1, T2, T3",0.994375,0.0
amyloid beta a4 protein (app),P05067-PRO_0000000093,CPX-1180,0,"T1, T2, T3",0.994375,0.0
glutamate nmda receptor; grin1/grin2a,"GRIN2A,GRIN1",CPX-2202,0,"T1, T2, T3",0.994375,0.0
dopamine d2 receptor,None,DRD2,0,"T1, T2, T3",0.994375,0.0
"histone-lysine n-methyltransferase, h3 lysine-9 specific 3",None,EHMT2,0,"T1, T2, T3",0.994375,0.0
histamine h3 receptor,None,HRH3,0,"T1, T2, T3",0.994375,0.0
lysine-specific demethylase 4d-like,None,KDM4E,0,"T1, T2, T3",0.994375,0.0
prelamin-a/c,None,LMNA,0,"T1, T2, T3",0.994375,0.0
serotonin transporter,None,SLC6A4,0,"T1, T2, T3",0.994375,0.0
solute carrier organic anion transporter family member 1b1,None,SLCO1B1,0,"T1, T2, T3",0.994375,0.0
solute carrier organic anion transporter family member 1b3,None,SLCO1B3,0,"T1, T2, T3",0.994375,0.0
ubiquitin carboxyl-terminal hydrolase 1,None,USP1,0,"T1, T2, T3",0.994375,0.0
butyrylcholinesterase,None,BCHE,0,"T1, T2",0.938125,0.0
acetylcholine receptor protein epsilon chain,"CHRND,Q04844-PRO_0000000329,P02708-PRO_0000000305,P11230-PRO_0000000315",CPX-255,0,"T1, T2",0.938125,0.0
dual-specificity tyrosine-phosphorylation regulated kinase 1a,None,DYRK1A,0,"T1, T2",0.938125,0.0
dual-specificity tyrosine-phosphorylation regulated kinase 2,None,DYRK2,0,"T1, T2",0.938125,0.0
isocitrate dehydrogenase [nadp] cytoplasmic,None,IDH1,0,"T1, T2",0.938125,0.0
neuropeptide s receptor,None,NPSR1,0,"T1, T2",0.938125,0.0
peripheral myelin protein 22,None,PMP22,0,"T1, T2",0.938125,0.0
parathyroid hormone receptor,None,PTH1R,0,"T1, T2",0.938125,0.0
vanilloid receptor,None,TRPV1,0,"T1, T2",0.938125,0.0
mothers against decapentaplegic homolog 2,"SMAD4,SMAD2,SMAD3",CPX-1,0,"T2, T3, T4",0.4375,0.0
cathepsin b (ctsb),"CTSB,CSTA",CPX-98,0,"T2, T3, T4",0.4375,0.0
calmodulin-3,"calm_human,PPP3CA,PPP3R1,AKAP5",CPX-674,0,"T2, T3, T4",0.4375,0.0
brd4/hdac1,"GATAD2A,GATAD2B,CHD4,CHD3,MTA1,MTA2,MTA3,HDAC1,HDAC2,RBBP4,RBBP7,MBD2",CPX-880,0,"T2, T3, T4",0.4375,0.0
ataxin-7 (spinocerebellar ataxia type 7 protein),"SF3B3,SF3B5,SUPT3H,TRRAP,KAT2A,TAF6L,TAF5L,SUPT7L,TADA3,TADA1,TAF9,TAF10,TAF12,ATXN7L3,USP22,ENY2,ATXN7,SUPT20H,SGF29,TADA2B",CPX-900,0,"T2, T3, T4",0.4375,0.0
ataxin-7 (spinocerebellar ataxia type 7 protein),"SUPT3H,KAT2A,TADA3,TAF10,TAF12,TAF5L,TAF9,TRRAP,TAF7,TAF6,TAF5,TAF4,TAF2,ATXN7L3,ATXN7,USP22,ENY2",CPX-903,0,"T2, T3, T4",0.4375,0.0
brd4/hdac1,"GATAD2A,GATAD2B,CHD4,CHD3,MTA1,MTA2,MTA3,HDAC1,HDAC2,RBBP4,RBBP7,MBD3",CPX-922,0,"T2, T3, T4",0.4375,0.0
histone acetyltransferase gcn5,"KAT2A,TADA3,SGF29,YEATS2,ZZZ3,KAT14,MBIP,WDR5,DR1,TADA2A",CPX-997,0,"T2, T3, T4",0.4375,0.0
calmodulin-3,"PPP3CA,PPP3R1,calm_human",CPX-1003,0,"T2, T3, T4",0.4375,0.0
cytochrome b-245 heavy chain (ec 1.-.-.-) (cgd91-phox) (cytochrome b(558) subunit beta) (cytochrome b558 subunit beta) (heme-binding membrane glycoprotein gp91phox) (nadph oxidase 2) (neutrophil cytochrome b 91 kda polypeptide) (superoxide-generating nadph oxidase heavy chain subunit) (gp91-1) (gp91-phox) (p22 phagocyte b-cytochrome),"CYBA,NCF1,NCF4,NCF2,CYBB,RAC1",CPX-1017,0,"T2, T3, T4",0.4375,0.0
calmodulin-3,"PPP3CA,PPP3R2,calm_human",CPX-1048,0,"T2, T3, T4",0.4375,0.0
calmodulin-3,"calm_human,PPP3CA,PPP3R2,AKAP5",CPX-1114,0,"T2, T3, T4",0.4375,0.0
herg,"KCNH2,KCNE2",CPX-3073,0,"T2, T3, T4",0.4375,0.0
mothers against decapentaplegic homolog 3,"SMAD4,SMAD3",CPX-3252,0,"T2, T3, T4",0.4375,0.0
bloom syndrome protein,"TOP3A,BLM,RMI1,RMI2",CPX-3301,0,"T2, T3, T4",0.4375,0.0
