,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
DRD4,3.867421,0.64289397,-6.699358,4.3491597,-5.3541408,-1.990344,1.7878362,1.1880367,-1.5746986,-0.79173124,1.5128372,-2.1603167,0.13955162,3.9122388,-4.0722218,7.2837563,-3.8918338,1.8844297,1.4782224,0.07846335,-0.52295214,-2.546143,-2.783244,3.9990711,0.6161459,-0.714287,0.22644316,4.5312467,1.1561493,-2.0176287,-6.0342207,-3.54473,3.0099397,-1.3508272,-7.916322,1.0039924,-7.4926353,-4.518964,3.0468247,-1.104301,1.4960766,1.8938817,0.1172881,-1.6003419,3.423606,-1.8623098,-1.4576542,-1.1215053,-0.8129979,4.094697,-6.222149,-0.06054964,-2.2566984,2.2670605,0.54523855,-2.624349,1.4157016,-0.66455626,0.31380913,3.8583653,-2.0654957,2.1301346,0.9237689,-1.1082393
GNB3,3.0358307,-0.7175631,-4.6430593,1.4641074,-5.633799,-2.6819205,2.3301034,-0.5627347,-1.1161867,0.45087042,1.1705269,-2.126548,-1.2056158,3.1729097,-2.8829963,7.264894,-4.8041577,0.5377631,0.2865085,1.1738877,0.5602292,-2.1086302,-3.721086,3.218617,-0.15082574,0.44572794,1.4761026,3.2130485,1.9572159,-2.6127224,-4.434703,-3.3041766,3.7044656,-0.9836776,-5.9619823,1.7042968,-6.1309023,-4.539366,1.7613827,-0.5373673,0.06995781,4.4452915,0.06397019,-1.7690618,4.1937814,-2.955409,-1.0202166,-0.7376336,-0.73418856,3.50086,-6.297035,-0.78608775,-3.1771336,2.0941818,-0.6848503,-1.2973526,2.239124,0.24006906,0.8904878,1.2625034,-1.57282,3.2569997,-0.032307193,-0.63972247
GNB4,3.3441796,-0.9087315,-4.968921,1.6230226,-6.080798,-2.7949662,2.4462862,-1.0319092,-1.0654467,0.49519932,1.2908093,-2.177435,-1.5846533,3.5027492,-2.8958678,7.772249,-5.272258,0.40919524,0.04725093,1.3026017,0.8068528,-2.2889268,-4.286393,3.532795,-0.1282565,0.8193616,1.8753533,3.4734657,2.2782884,-2.935293,-4.640183,-3.6462748,3.9318428,-1.0086502,-6.2946677,1.968687,-6.394938,-5.0517054,1.4911973,-0.670065,-0.043647207,5.137501,-0.06735093,-1.8227621,4.6028123,-3.4937654,-0.9478015,-0.47780105,-0.5147386,3.8768349,-6.877001,-0.8488177,-3.333028,2.304101,-1.0815976,-1.5539044,2.814118,0.552104,1.0495393,1.449381,-1.7182992,3.6111553,-0.05441428,-0.5859435
AKR1D1,0.5345174,-1.2292105,0.62071437,-2.4101908,-2.6066294,-2.8932855,1.9907558,-1.7710092,-0.57606447,1.2268624,-0.083334416,-1.3701782,-0.83275056,0.4357046,-0.75106937,2.9759593,-2.9912736,-0.5582543,-0.030048754,2.0120234,0.76938677,-0.4361311,-2.579784,0.5543244,-0.7331365,0.70788205,1.2459424,0.39395538,1.5682741,-1.6617293,-0.91956663,-1.0432507,2.487954,0.12965444,-2.0428076,-0.014197489,-2.5093715,-1.9420907,0.2570337,0.78725183,-0.20537761,3.0050998,0.1481669,-1.9268435,2.3605645,-1.7574288,-0.9813503,-1.0071394,-0.6634202,1.1573405,-2.956988,-0.69048345,-2.2359893,0.94672817,-0.61845946,0.6545254,0.71468973,0.022903826,1.5408748,-1.6666596,-0.41867507,2.6421764,-0.5013408,-0.628589
CYP2C9,1.1204733,-0.42043173,-0.8925866,-0.7173575,-2.9111624,-2.4676907,1.6543846,-0.6506669,-0.5985318,1.0018373,0.5613162,-1.5467688,-0.25978413,0.82633126,-1.714513,3.879527,-2.9148276,-0.11212413,0.3630487,1.5138139,0.19258973,-0.9363624,-2.3754556,1.0283478,-0.18749613,0.10839897,0.21267048,1.2967933,1.2898657,-1.6768537,-2.1847875,-1.414033,2.461044,-0.6960793,-3.447753,0.3997577,-4.1288896,-2.5229437,1.3565633,0.43455422,0.17512485,2.4371822,0.2736382,-1.8668722,2.5026948,-1.2861537,-0.8973476,-1.5390977,-0.7709894,1.732079,-3.6309905,-0.7012745,-2.4321897,1.0701778,-0.15896331,0.0038327686,0.9159881,-0.28041115,1.7917336,-0.7781234,-0.920247,2.5877829,-0.07364625,-0.9692433
SLC6A4,3.9264038,-0.8769524,-6.713043,2.1763885,-7.171922,-3.1841605,2.7342024,-1.4511149,-1.1620178,0.57517946,2.0006053,-2.5910943,-2.2230136,4.1580796,-3.4278448,9.54567,-6.3745203,0.20961557,0.3042322,1.3634948,0.98638296,-2.8433404,-5.125903,4.4407434,-0.09761903,0.9625271,2.380362,4.459738,2.3579972,-3.2552114,-5.9537735,-4.5469356,4.377063,-1.4281217,-7.927268,2.9299402,-7.488065,-6.5420403,1.6649115,-1.0262951,0.06332564,6.5798917,-0.15473346,-2.1389067,5.6984487,-4.3971715,-0.784493,-0.51908684,-0.7914931,4.40957,-8.036777,-1.3612276,-4.582128,2.6403253,-1.8044204,-2.2061462,3.567368,0.8181393,0.87434757,1.8599305,-2.1251845,4.386508,0.114182875,-0.7188209
GNB5,2.8452134,-1.0366608,-4.20921,1.1386001,-5.6899934,-2.8847306,2.46799,-0.99576354,-1.0089983,0.48203382,1.1509479,-2.0447361,-1.5563399,3.0839586,-2.5906174,7.156617,-4.971263,0.37595475,0.14194444,1.411742,0.71107256,-2.0486815,-4.0607505,3.0903018,-0.22285175,0.800153,1.8841817,3.147006,2.1049767,-2.6912365,-4.1319575,-3.346518,3.8038936,-0.875211,-5.855702,1.7753062,-5.919684,-4.660724,1.4132665,-0.49380565,0.025420249,4.946491,-0.024360247,-1.7856866,4.3357973,-3.2096615,-0.9173952,-0.59689933,-0.5969799,3.4714777,-6.384691,-0.8277483,-3.1795378,2.1620674,-0.9469917,-1.1974783,2.4639263,0.4876838,1.1544724,1.086122,-1.7033249,3.4620674,-0.11108793,-0.70416445
IDE,1.8682446,-0.98637795,0.1844796,0.31166577,-2.4172966,-1.8788959,1.5630606,-0.029038254,-0.2664267,0.84323096,-0.4964221,-1.3898027,-0.04042911,0.9823355,-1.2328787,2.1123447,-2.4405093,1.342219,-0.40065718,1.151319,0.47131762,-0.33371365,-1.6537058,0.5993457,0.073716626,0.8795955,0.90313995,1.5138395,1.184173,-1.9670051,-1.2974478,-0.6964932,2.0850224,-0.92020833,-2.7629926,-1.1683824,-3.2163453,-1.1767975,0.8203831,0.044578604,1.2080412,0.9272479,-0.17683353,-1.4308813,2.164922,-0.41096964,-0.9588315,-0.98505735,0.24901828,2.5049834,-3.365137,1.2449623,-0.41302857,0.16512215,1.0674539,0.5055118,0.073618144,-0.53223896,1.9870722,0.831618,-1.4355578,0.8366071,-0.24028224,-0.2865723
QDPR,2.2157679,-1.5805465,-1.2496945,-0.77593714,-4.1198435,-2.615328,2.3471184,-1.7637562,-0.64850175,1.2467272,0.03587215,-1.7467682,-1.3161573,2.0267324,-1.4065938,4.3846226,-4.0861807,0.054782312,-0.6277238,1.5216657,1.3094032,-0.80149126,-3.15678,1.6894962,-0.6546824,1.3169963,1.977366,1.4838566,1.9240842,-2.4661078,-1.9209951,-1.8902723,3.139255,-0.33789173,-3.189841,0.35946187,-3.4415808,-2.5674665,0.19739623,0.008570332,-0.2876484,3.6472163,-0.30251276,-1.8674544,3.4582398,-2.4673102,-0.9330964,-0.40617922,-0.1643318,2.6211412,-4.49005,-0.050341845,-2.1899912,1.0523272,-0.6995962,0.033038698,1.5576245,0.24033837,1.0997416,0.0027673505,-0.76173985,2.413337,-0.51667875,0.04679773
HTR6,1.4471599,-2.2182088,-1.8397,-0.71471876,-4.9101377,-3.815146,2.860795,-2.3494055,-0.44015497,0.44544923,0.89873934,-2.0439508,-2.822418,1.6883829,-1.4326198,6.0043006,-5.0357585,0.13564378,-0.033954915,2.4178123,1.3247594,-1.2465242,-4.927274,1.4476634,-0.8297541,1.6769897,3.31762,2.5723462,2.0099752,-2.7361352,-2.8961082,-2.8741515,3.2560136,-0.9428129,-5.222585,1.6790476,-4.1506224,-4.3959045,0.5581631,0.22525737,0.82186735,6.047206,-0.23405676,-1.7924278,4.19575,-3.4159954,-0.27387106,-0.6748749,-0.37469688,3.167132,-6.11816,-0.8461249,-2.8638587,1.8906587,-1.517737,-0.38475132,2.2745733,1.4175837,2.0960975,0.32641858,-2.3918319,3.8699665,-0.6684595,-1.2296494
