,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
DRD4,-4.052394,4.487464,4.5116744,1.8170359,1.8790339,-2.26814,-1.638796,-2.5861995,5.1079936,0.0077599715,-1.3467189,-6.2254663,4.176696,0.794296,8.002726,-6.8647237,2.3705518,3.8691382,4.623989,2.2153027,-1.0597616,4.755774,2.1041207,2.7344072,-5.8807235,0.49515146,10.483418,-0.84095097,-7.630632,-2.1472752,3.995732,-2.7709923,1.36505,-3.4447265,-4.04188,-1.358338,0.3738712,-1.6160034,-0.65665525,-6.6080723,1.6471163,-0.8250311,6.417576,-0.81135035,2.668102,-4.739797,2.4653563,-8.828803,3.5437152,-2.3969367,5.9635754,11.472345,1.1241878,9.334582,1.218326,9.879383,-2.39737,3.9339602,-2.2720833,0.22856113,0.4500469,-4.132306,3.4566593,-2.9547887
GNB3,-3.371098,3.4608924,2.139383,1.3160857,0.93446517,-3.0388694,-0.21787101,-1.8999897,3.959458,0.32055005,-0.074823365,-4.4606214,4.9172826,0.08980507,6.4064255,-6.391953,0.6417371,2.8819046,3.3874938,1.8476799,-0.36487925,3.3789535,3.6232297,1.9655092,-4.3495245,1.3692557,9.082246,-1.3550415,-4.650206,-0.42138454,2.2060134,-1.7450109,-1.4533209,-3.6785932,-2.7721224,-0.9300364,1.232504,-1.0666103,-1.623857,-4.478527,0.92362267,-1.1144198,6.5815206,-1.7453632,0.9828238,-4.169024,0.8802263,-5.7504888,2.044264,-2.0386984,5.786337,9.768923,1.5155777,8.138904,0.6361689,8.706056,-0.053316664,3.5696647,-1.2507805,-0.5379872,-0.63150066,-2.9355361,3.2019947,-2.9826832
GNB4,-1.9836333,3.6428404,2.1693268,1.1389492,0.9792793,-3.7534435,0.4438992,-1.3419365,4.3036675,1.0415972,0.41008028,-4.6906404,5.17814,-0.11282256,7.462106,-7.3071017,0.437929,2.0830667,3.3669703,1.5652256,-1.2844404,4.5461082,2.4690044,2.2860417,-4.621211,1.6130478,10.032712,-1.9680954,-5.1916323,-0.54610693,2.2724423,-1.6176609,-1.8016893,-4.1838274,-3.088513,-1.0081975,1.4137883,-0.62357384,-1.9251983,-4.347859,1.5103877,-0.77390033,7.182005,-1.7970594,0.5516509,-3.6865938,0.15362576,-6.7539053,2.2024782,-1.952224,6.421568,10.216989,2.323536,9.31975,0.69321156,9.957012,0.25588295,3.0209947,-0.9378619,0.3913864,-1.4821413,-3.0955577,3.4108384,-3.2444196
AKR1D1,-9.076369,2.3640096,-2.0414095,0.8523032,-1.555635,-2.3239262,-0.9718426,-2.8052301,1.9039618,-3.2126186,1.8480208,-0.61071604,5.583621,0.16643187,-0.13919626,-4.0347257,-2.2048912,2.751716,-0.56202686,2.095228,6.644607,-5.3214784,11.3197975,-0.28452793,-1.8273926,1.6355959,4.3697963,2.8802772,3.624966,3.385643,-0.69913363,0.6250079,-7.627114,-3.008925,2.5831556,1.398626,1.2054511,-0.3267884,-2.9385633,-2.0560007,-3.0548022,-0.43724835,5.843913,-5.6457553,0.46563488,-4.636198,2.3387053,3.4702754,-2.0251007,-3.1287704,4.373289,7.689511,0.9081151,4.569588,-1.8191366,4.5057435,2.0524883,6.065198,0.04165384,-8.866175,0.98150885,-1.7334677,3.7453113,-1.4940752
CYP2C9,-6.395323,2.472094,-0.5359978,0.95584303,-1.1223922,-2.544534,-0.062270172,-2.9887686,2.1616333,-2.7927144,2.0245743,-1.6626134,5.2266283,0.0659738,1.4604325,-5.934908,-1.8318188,2.9489994,-0.15496415,1.8346312,4.504009,-3.065138,9.266054,0.3520737,-2.1473634,1.3087358,5.5378566,1.5963242,0.8421958,2.044571,0.0943266,0.0023374502,-6.8819776,-3.6208248,2.3503838,0.8796561,1.6349252,-0.61202693,-3.0812812,-2.2864516,-2.0417185,-0.21574712,6.1949778,-5.516955,0.121388406,-3.7227392,2.7671003,1.3194957,-0.8889436,-3.507572,5.251783,7.9740043,1.4893214,5.732771,-0.8296676,5.4640675,0.9794354,6.061664,-0.11743811,-7.030343,0.25691804,-2.3398886,3.3016305,-2.0018952
SLC6A4,-4.9345684,4.4692726,2.9722981,1.7182176,1.4050204,-3.6267428,-0.88909245,-2.1171308,5.4801817,0.37662888,-0.5198717,-5.6720786,5.8842883,0.040633947,8.377607,-6.9285293,0.81340706,2.7003908,4.4460998,2.190588,-0.36336565,4.331602,3.7796688,2.0556407,-5.6860423,1.335458,10.573631,-1.6268867,-5.8724365,-0.09972006,2.7275283,-1.7665268,-0.47065338,-3.6748912,-4.240463,-1.1493254,0.5127159,-1.1911405,-1.1329095,-5.749918,1.3954256,-0.73641634,7.6206255,-1.4700184,1.2554826,-5.11684,0.43445224,-7.6950464,2.1195745,-1.5305003,6.7045107,11.737853,1.7031314,10.186514,0.63358134,10.964048,0.027123112,3.6221118,-1.7387811,0.032152858,-0.5271344,-3.5095193,4.2242746,-3.500554
GNB5,-2.5094962,3.6916404,1.7098386,1.2343713,0.78441083,-3.7168899,0.61850595,-1.4590223,4.2128735,0.66875273,0.3562043,-4.3570127,5.329905,-0.08616087,6.913359,-6.881536,0.27533734,2.1898494,3.207422,1.6059642,-0.55625856,3.8046029,3.304065,1.9278896,-4.276909,1.8064976,9.542791,-1.8900517,-4.691222,-0.07328093,1.9350564,-1.4603904,-1.7832085,-4.034801,-2.844144,-0.7187371,1.2338794,-0.80146044,-1.7461278,-4.0429683,1.3988162,-0.76578385,7.084021,-1.9869131,0.21059318,-3.7651746,0.0002432093,-5.8243237,1.7305713,-1.9144175,6.409534,9.908954,2.1257765,8.802963,0.6510761,9.477063,0.5886415,3.1077638,-0.8219533,-0.106027,-1.3974545,-2.6611645,3.3400965,-3.136519
IDE,-2.3431683,2.0259542,0.3553062,0.13121845,-0.582899,-2.9361851,0.7844394,-1.3557894,2.1656382,-0.90189,1.127152,-2.4138474,3.7208433,-0.27121982,2.7672858,-5.8675566,-0.6342837,1.6661733,-0.025664737,1.4008392,1.0896554,0.1662146,3.6465104,1.3400763,-2.9922733,1.0855726,6.3930116,0.6736259,-1.0673939,1.1242286,0.89558125,-0.5388545,-3.916801,-3.5734365,0.45239383,0.64666116,1.3090018,-0.75509584,-1.7698298,-1.7395368,-0.0729171,0.22288135,4.7165375,-2.8778079,0.5659666,-2.3359585,1.000454,-2.6162617,0.7311577,-2.3906422,4.515995,7.202791,2.0121012,5.2620554,-0.28582096,5.795302,0.6349111,3.529608,0.050914735,-2.9368885,-1.4582419,-2.1541483,2.2576244,-1.0124179
QDPR,-6.593028,2.2998135,1.3593642,0.5282069,0.011019217,-1.771628,-2.7333574,-1.6243007,2.576577,-0.23357704,-1.0620118,-4.3953047,4.382924,0.2989866,3.4571178,-2.9269269,1.0530144,2.7527473,2.4839466,1.7150937,1.3468733,-0.04240931,3.5320475,1.6073647,-5.143779,0.90071696,6.664109,1.5826563,-1.2969416,0.2195279,2.1634154,-1.371835,-0.73297757,-1.7762594,-2.9397717,-0.71674097,0.275377,-0.8852879,-0.584687,-4.281957,-0.85871863,-1.3236238,4.3433304,-0.13187858,2.890877,-5.248334,1.2764577,-5.202337,1.3047868,-1.0074134,3.2638607,8.805943,-0.05753985,4.874172,-0.865683,5.375159,-0.01799019,3.3484905,-1.2387935,-2.4974067,-0.20580855,-2.154081,2.7021978,-0.9248244
HTR6,-6.0847287,5.6775093,1.1807603,2.566588,1.3937633,-4.8473377,1.044829,-2.1984673,6.524343,-0.6290691,-0.03601916,-5.0622535,7.638626,-0.94072074,9.128335,-7.628011,-0.91299284,2.8133674,5.173779,3.0304904,1.253199,3.9743755,7.882867,0.7877405,-4.560058,3.2030764,11.13565,-2.5733163,-5.8652954,3.6669447,1.238755,-1.375592,-1.1468297,-4.525838,-3.414447,-0.24149156,0.17802219,-2.415111,-1.1271853,-5.087864,1.806092,0.07612525,10.007233,-3.2281039,-1.1060779,-5.739129,-1.2193837,-5.417639,0.51092446,-1.3645779,9.607266,12.857446,2.6498497,11.480572,0.8884227,13.239785,2.5846813,4.554305,-1.5780842,-1.140251,-0.38003093,-2.9422085,5.0950203,-4.233624
